text,name,firm
"Alex Rampell is a General Partner at Andreessen Horowitz where he leads the firm's fintech investments and serves on the boards of Branch, Descript, Earnin, PeerStreet, Point, Quantopian & Transferwise.",Alex Rampell,Andreessen Horowitz
"Prior to joining a16z, he was the CEO and cofounder of TrialPay, a leading transactional advertising and payments company serving digital goods and e-commerce clients such as Facebook, Zynga, and Gap, with 100 employees and over $300M in cumulative revenue since inception. TrialPay was acquired by Visa in 2015. TrialPay also spun out another company, Yub, the first offline affiliate network, where Alex simultaneously served as CEO through its acquisition in late 2013 by Coupons.com.",Alex Rampell,Andreessen Horowitz
"Previously, Alex cofounded FraudEliminator, the first consumer anti-phishing company, which merged into SiteAdvisor and was acquired by McAfee for $75M in 2006. He has been a frequent writer on e-commerce and advertising topics for TechCrunch, and first coined the term ""O2O"" to refer to the growing category of Online-to-Offline commerce companies like Lyft and Groupon. Prior to joining the firm, Alex had been an active angel investor (Pinterest, Bloomreach, SiftScience, Wooga, and Twice, among many others) and served as an advisor to the SV Angel fund. He also co-founded three other companies: TXN, a survey and transactional data company; Point, a real estate marketplace; and Affirm, with Max Levchin.",Alex Rampell,Andreessen Horowitz
"He holds a BA in Applied Mathematics and Computer Science from Harvard University. In addition to his a16z board seats, Alex serves on the board of CashStar, a leading electronic gift card company, and KCG Holdings, Inc.",Alex Rampell,Andreessen Horowitz
"Ben Horowitz is a cofounder and general partner of the venture capital firm Andreessen Horowitz and The New York Times bestselling author of The Hard Thing About Hard Things, which is now available in 19 languages.",Ben Horowitz,Andreessen Horowitz
"Prior to a16z, Ben was cofounder and CEO of Opsware (formerly Loudcloud), which was acquired by Hewlett-Packard in 2007 for $1.6 billion, and was appointed vice president and general manager of Business Technology Optimization for Software at HP. Earlier, he was vice president and general manager of America Online’s E-commerce Platform division, where he oversaw development of the company’s flagship Shop@AOL service. Previously, Ben ran several product divisions at Netscape Communications. He also served as vice president of Netscape’s widely acclaimed Directory and Security product line. Before joining Netscape in July 1995, he held various senior product marketing positions at Lotus Development Corporation.",Ben Horowitz,Andreessen Horowitz
Ben has an MS in Computer Science from UCLA and a BA in Computer Science from Columbia University.,Ben Horowitz,Andreessen Horowitz
"Ben serves on the board of the following Andreessen Horowitz portfolio companies: Capriza, Databricks, Earn.com, Foursquare, Genius, Lyft, Magnet Systems, Medium, NationBuilder, Okta, SignalFx, Tanium, United Masters, and Usermind. He is also on the board of Columbia University and CODE2040.",Ben Horowitz,Andreessen Horowitz
,Ben Horowitz,Andreessen Horowitz
"Chris Dixon is a general partner at the venture capital firm Andreessen Horowitz. Previously, Chris was the cofounder and CEO of two startups, SiteAdvisor and Hunch. SiteAdvisor was an internet security company that warned web users of security threats. The company was acquired by McAfee in 2006. Hunch was a recommendation technology company that was acquired by eBay in 2011.",Chris Dixon,Andreessen Horowitz
"As an investor, Chris cofounded Founder Collective, a seed venture fund, where he made early stage investments in BuzzFeed, Coupang, Makerbot, Venmo, and others. He’s also been an active angel investor, making personal investments in technology companies including Behance, Foursquare, Kickstarter, Stripe, OMGPOP, Pinterest, Warby Parker, and others.",Chris Dixon,Andreessen Horowitz
"Chris started programming as a kid, and was a professional programmer after college at the high-speed options trading firm, Arbitrade. He has a BA and MA in Philosophy from Columbia and an MBA from Harvard. When he’s not meeting with entrepreneurs, he’s often writing blog posts on Medium about his theories and experiences of investing and building startups.",Chris Dixon,Andreessen Horowitz
"Chris has made several seed-stage and venture-stage investments for a16z including: Airware, Bonfire Studios, BuzzFeed, Coinbase, Comma.ai, Dispatch.ai, Envoy, HVMN, Improbable, Keybase, Oculus, OpenBazaar, Polychain, Ringly, Shapeways, Skydio, Soylent, Stack Overflow, Wit.ai, and Zipline.",Chris Dixon,Andreessen Horowitz
"Jeff Jordan is a general partner at the venture capital firm Andreessen Horowitz where he serves on the board of Accolade, Airbnb, Hatch, Instacart, Limebike, Lookout, OfferUp, Pinterest, and Walker & Company.",Jeff Jordan,Andreessen Horowitz
"He was previously CEO and then executive chairman of OpenTable, where he led the company during a period of accelerated domestic and international growth and oversaw its initial public offering. Prior to OpenTable, Jeff was president of PayPal and responsible for establishing the company as the global standard for online payments. Earlier, he was senior vice president and general manager of eBay North America, overseeing eBay's growth into one of the Internet’s leading commerce brands and driving the successful acquisitions of PayPal and Half.com.",Jeff Jordan,Andreessen Horowitz
"Before joining eBay, Jeff was chief financial officer of Hollywood Entertainment and president of Reel.com. He also worked as senior vice president of finance for The Disney Stores at The Walt Disney Company.",Jeff Jordan,Andreessen Horowitz
"Jeff holds an MBA from the Stanford University Graduate School of Business, where he also serves on the Advisory Counsel. He received a BA in Political Science and Psychology from Amherst College.",Jeff Jordan,Andreessen Horowitz
"Jorge Conde is a General Partner at Andreessen Horowitz where he leads investments at the cross section of biology, computer science and health.",Jorge Conde,Andreessen Horowitz
"Prior to joining a16z, Jorge served as Chief Strategy Officer for Syros (NASDAQ: SYRS), which is advancing a new wave of medicines that control expression of disease-driving genes to treat cancer and other diseases. He previously served as the company's Chief Financial Officer and Chief Product Officer, leading the platform strategy for Syros' novel gene regulation technology. Jorge also cofounded Knome, a human genome interpretation company acquired by Tute Genomics in 2015. Earlier in his career, Jorge worked in marketing and operations at MedImmune and as a biotechnology investment banker at Morgan Stanley.",Jorge Conde,Andreessen Horowitz
