text,name,firm
"Raghav Bahl, a Vice President with BVP India in Bangalore, joined the firm in 2011. He has over 10 years of experience across investing and consulting. Raghav primarily focuses on investments in consumer internet, education, healthcare and software companies and has been closely involved with the firm’s investment in Swiggy, BigBasket, TaxiForSure (merged with OlaCabs),Travel Triangle, Snapdeal, Nephroplus, StayGlad (Acq by Quikr) and Palogix. Most recently, Raghav was an associate at FIRE Capital Fund, India’s first real estate private equity fund, where he was responsible for deal evaluation, structuring and supporting portfolio companies. Previously, he was an associate consultant in the strategy practice of Strategic Decisions Group, India, where he advised clients across industries including real estate, airports, power and private equity.",raghav bahl,Bessemer VP
"Raghav holds an MBA from the Indian School of Business (ISB), Hyderabad. He earned his bachelor’s in technology from the Indian Institute of Technology (IIT), Delhi. ",raghav bahl,Bessemer VP
Follow Raghav on his blog at www.thenetwortheffect.com,raghav bahl,Bessemer VP
BigBasket is India's largest online grocery store.,raghav bahl,Bessemer VP
DocsApp is an India-based consultation platform that provides patients instant and private medical consultations with specialist doctors.,raghav bahl,Bessemer VP
NephroPlus is a well established chain of kidney care clinics that is shaping quality kidney care all over India.,raghav bahl,Bessemer VP
"In 2015, BVP portfolio company, TaxiForSure, was acquired by OlaCabs.  OlaCabs is a mobile app for personal transportation in India.",raghav bahl,Bessemer VP
Palogix is in the business of developing and operating private freight terminals,raghav bahl,Bessemer VP
Snapdeal.com is India's largest e-commerce marketplace.,raghav bahl,Bessemer VP
Stayglad is an India-based beauty services platform providing salon-like experiences at home.,raghav bahl,Bessemer VP
"Swiggy is a Bangalore, India based food ordering and delivery company that uses a curated list of restaurants and ensures an exact delivery time.",raghav bahl,Bessemer VP
Travel Triangle is an India-based travel marketplace connecting travelers with local travel agents.,raghav bahl,Bessemer VP
"Wydr is India's mobile-based wholesale marketplace that connects wholesale buyers and sellers, retailers, brand owners, manufacturers, importers and wholesale distributors on one platform.",raghav bahl,Bessemer VP
Kent Bennett joined Bessemer in 2008 and works out of our Cambridge office. Kent focuses on consumer product and service companies as well as companies building consumer-facing vertical software.,kent bennett,Bessemer VP
"At Bessemer, Kent’s investments at Bessemer include the consumer companies Blue Apron, MealPal, Winc, and Renoviso, as well as consumer-facing vertical software companies Toast and Xtime (acquired by Cox.)",kent bennett,Bessemer VP
"Prior to joining Bessemer, Kent was a creative executive for an entertainment-production company, where he developed and sold original material including a network television pilot and a feature film.  He began his career with Bain & Co., where he worked on projects in industries spanning IT, retail, consumer products, healthcare and biotech.",kent bennett,Bessemer VP
"Kent holds an MBA from Harvard Business School, where he was a Baker Scholar, and a B.S. degree, summa cum laude, in systems engineering from the University of Virginia, where he was a Jefferson Scholar.",kent bennett,Bessemer VP
 ,kent bennett,Bessemer VP
