text,name,firm
"“I have the most fun working with entrepreneurs with strong product DNA and an ability to anticipate and facilitate contemporary consumer phenomena, while building the brands of the future. My background is strongly international, so I look for opportunities that go beyond borders.”",Adam Valkin,General Catalyst
"I focus on consumer and SMB-oriented businesses with an emphasis on mobile-first applications. Before I joined General Catalyst, my investments included LOVEFiLM (where I was co-founder and initial CEO), Spotify, Hailo, Fiverr, Kenshoo, peerTransfer, GoCardless, and Dragonplay. The companies I have been involved with at General Catalyst include Brainly, CCP, ClassPass, Deliveroo, Fundbox, Giphy, Super Evil Megacorp, Rebag, Vroom, Remesh, and WayUp.",Adam Valkin,General Catalyst
"If you’re pursuing ideas in next-generation online marketplaces, alternative finance, mobile applications for consumers and SMBs, and gaming, we can have a great conversation because those are the areas that interest me most.",Adam Valkin,General Catalyst
"I have worked with entrepreneurs for almost 20 years since my first job at a venture-backed startup in Boston in 1996. In this time I have gained valuable experience at startups, with incumbents and in venture. I have also had the opportunity to co-found two companies with successful exits, LOVEFiLM (acquired by Amazon) and Propertyfinder (acquired by REA).",Adam Valkin,General Catalyst
"I was born in South Africa and came to the U.S. to attend college. I graduated with a degree in economics from Harvard University and have been active as an investor and operator in the U.S., Europe and Israel. I lived in London for 14 years, and now split my time between Boston and New York with visits to California, the U.K. and Israel. One of the things I bring to entrepreneurs is a reality-based outlook on how to scale businesses internationally.",Adam Valkin,General Catalyst
"Outside of work, you’re likely to find me on the tennis court or in a fitness class, enjoying food, wine and travel, and spending time with the four women in my life: my wife and three daughters.",Adam Valkin,General Catalyst
“It amazes me that individuals can leverage technology to solve problems much more rapidly and effectively than can governments and organizations with far greater resources. I get excited when I meet founders determined to build big businesses that have a widespread impact across industries and on society.”,Addie Lerner,General Catalyst
"Studying the complexities of the Middle East at the Woodrow Wilson School at Princeton made it clear to me that private sector individuals and companies must play a role in solving the world’s biggest challenges – policy and politics alone are not sufficient. I wanted to understand how private businesses can create change more efficiently than governments, so I started my career at Goldman Sachs learning how to invest in growth-stage technology and services companies.",Addie Lerner,General Catalyst
"My enthusiasm for emerging consumer technologies around the world took me to General Atlantic, where I joined the Internet & Technology team in New York and worked on investments in Buzzfeed and Gilt Groupe. During a year in GA’s London office I had the privilege of working with incredible entrepreneurs and investors throughout Europe, Israel, and the Middle East who are leveraging technology to address important problems with a global focus.",Addie Lerner,General Catalyst
"At General Catalyst I am excited to get to know early-stage founders and growth-stage teams who are solving real problems – not just by replacing an existing approach but by pioneering a new path – and perhaps even creating new markets, such as the next-gen AI platform Remesh. Marketplace, commerce, data and content companies in the Health & Wellness and New Media spaces are particularly interesting to me. Those industries are being completely disrupted and democratized by innovative businesses that are doing everything from creating wider and cheaper access to healthcare to bringing content and information more quickly and cost-effectively to communities around the world.",Addie Lerner,General Catalyst
"When I’m not catching up with entrepreneurs, you can usually find me on a SoulCycle bike, reading up on Middle East policy news or attempting to learn how to cook. I also volunteer with StreetWise Partners to mentor motivated NYC job seekers, and while I love living in New York, I remain an avid fan of my hometown team, the Boston Red Sox.",Addie Lerner,General Catalyst
"“We take a team approach to investing. My role is managing the finance and operations organization to enable everyone else to focus on our mission: identifying stand-out entrepreneurs and helping them succeed. In that sense, we don’t have organizational overhead.”",Bill Fitzgerald,General Catalyst
"In addition to being a Managing Director, I’m also COO and help oversee finance, legal, compliance and administration. Everything I do has one purpose: making sure the General Catalyst investment team can focus on our entrepreneurs and investments.",Bill Fitzgerald,General Catalyst
"One of our strongest values as a firm is the commitment we have to collaborate with and challenge each other. That goes back years before we founded General Catalyst, when a number of us worked together at various companies, ranging from startups to national industry leaders. Today we listen to and mentor our entrepreneurs to take the same approach: build a team based on open, honest communication about roles, responsibilities, risks and rewards.",Bill Fitzgerald,General Catalyst
"This approach has enabled us to seek out different opinions and embrace ambiguity. Many of our best investments were highly debated decisions at the time, and we were able to have the right conversations and make the right call.",Bill Fitzgerald,General Catalyst
"Before co-founding General Catalyst, I was vice president and treasurer of a private equity group that acquired under-performing or strategically challenged businesses. Prior to that, I was with KPMG and an adjunct professor at Boston College. I graduated with a B.A. from the College Of The Holy Cross, and received a J.D. from Suffolk University Law School. Professional affiliations include the Association for Corporate Growth, the Financial Executives Institute and Director of the Private Equity CFO Association. I am an avid sports fan, played hockey in college before going to law school, and believe there is no substitute for sacrifice, preparation, teamwork and sportsmanship.",Bill Fitzgerald,General Catalyst
"“I came into the venture capital world for the opportunity to work with dynamic entrepreneurs and the brightest thinkers who are always looking for ways to push themselves further. There’s so much energy in collaborating with smart, driven people and sharing their passion and conviction.”",Chris McCain,General Catalyst
"My official role is Chief Legal Officer, but at General Catalyst we all contribute to helping entrepreneurs overcome challenges, navigate obstacles, find creative solutions and seize opportunities.",Chris McCain,General Catalyst
"As an undergraduate at Boston College, I knew early on that I wanted to be an attorney so I spent a year studying law at Oxford University. While at Boston College law school, I became interested in working with early-stage companies because I was inspired by young entrepreneurs and their ability to see opportunity when most others do not. My first job was with Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP, which has a strong venture capital practice. Working in one of the firm’s smaller offices, I was able to roll up my sleeves and quickly learn about the world of venture capital transactions, start-up company needs and growing pains, M&A, fund formation and public offerings.",Chris McCain,General Catalyst
"After they opened their Boston office, I moved to Cooley LLP to benefit from their larger platform for supporting entrepreneurs, venture capital firms and complex M&A. Both Gunderson’s and Cooley’s roots are on the west coast, so I was able to have a window into the Silicon Valley approach to entrepreneurs and start-ups while also working here on the east coast.",Chris McCain,General Catalyst
"Today, I seek to leverage these prior experiences to support our team of dynamic, creative and intelligent individuals here at General Catalyst as well as our diverse ecosystem of exceptional and talented entrepreneurs.",Chris McCain,General Catalyst
"My wife and I have three young sons, who are the only people I know that have more energy than our entrepreneurs. When there’s time to relax (and there isn’t much with the boys), I enjoy throwing my support behind Boston’s sports teams (and, of course, the Boston College Eagles).",Chris McCain,General Catalyst
"“In my opinion, an entrepreneur is someone who puts everything else aside to build the world they want to live in.”",Dan Giovacchini,General Catalyst
"I first became hooked on the startup world when I won prize money in business plan competitions during my undergraduate years at Brown University. I now feel blessed to work with visionary founders on a daily basis. We live in a remarkable time where incredible revolutions in the technology stack have given us the potential to drastically improve the human condition. At General Catalyst, I am looking to forge relationships with exceptional entrepreneurs who have creatively reimagined a status quo or have even conceived of a new space entirely.",Dan Giovacchini,General Catalyst
"I started my time in investing at Accel Partners in Palo Alto before joining General Catalyst’s team in Cambridge.  Personally, I try to help founders think about turning products into platforms: What problems are solved for the customer? What additional services do customers use? How can their experience be improved?  I believe that General Catalyst provides founders and entrepreneurs with the resources and tools to help navigate these questions as well as other challenges and demands they face as they develop and scale their businesses.",Dan Giovacchini,General Catalyst
"Ever since I can remember, I’ve been a big believer in goal setting and fearless dreaming. I was born with moderate-severe hearing loss, but by setting my sights high and embracing my challenges I eventually became captain of the Brown University football team and graduated with a degree in Business Economics. I’ve been fortunate to share publicly my experiences with hearing impairment, sports, and overcoming obstacles in an effort to inspire others with physical disabilities.",Dan Giovacchini,General Catalyst
"While my days of blasting Phil Collins and Eminem in the locker room and tackling running backs are over, my big appetite and love for team competition remains! When I’m not at General Catalyst, you can find me playing early morning pickup basketball, practicing on my guitar, or waterskiing at my family’s New Hampshire summer home on Lake Winnisquam.",Dan Giovacchini,General Catalyst
“I love working with creative people and helping them make a difference. I am inspired by founders with big transformational ideas; that’s why our entrepreneurs include young people still in college all the way up to serial founders on their fifth or sixth company.”,David Fialkow,General Catalyst
 ,David Fialkow,General Catalyst
"Before Joel Cutler and I co-founded General Catalyst, together we built and sold four companies including National Leisure Group; Alliance Development Group (sold to MyPoints.com); Retail Growth ATM Systems (sold to PNC Bank); and Starboard Cruise Services (sold to LVMH Moet Hennessy Louis Vuitton, Inc.).",David Fialkow,General Catalyst
"My focus areas include travel, financial services, and e-commerce. In addition to leading our XIR program, some key investments at General Catalyst include BBN Technologies (acquired by Raytheon), Catalant, CLEAResult (acquired by General Atlantic), Datalogix (acquired by Oracle),  Datto (acquired by Vista Equity Partners), Elysium Health, Index, Outdoor Voices, PathAI, Rue La La (acquired by GSI Commerce), TrueMotion and Vitrue (acquired by Oracle).",David Fialkow,General Catalyst
"Before going into business, I studied filmmaking at Colgate University, then earned a law degree from Boston College.  Over the last twenty-five years, I have raised tens of millions of dollars for children’s charities by biking, running, climbing and rowing. My wife, Nina, and I still make documentaries focused on healthcare and social justice; our film Icarus,  sold at Sundance in 2017 in one of the largest deals for non-fiction films in Sundance’s history, and won the Academy Award in 2018 for Best Documentary Film.   My non-profit boards include Facing History and Ourselves as well as serving as chairman of the board of The Pan-Mass Challenge and chair of the Investment Advisory Committee of The Engine.",David Fialkow,General Catalyst
 ,David Fialkow,General Catalyst
 ,David Fialkow,General Catalyst
"“I get excited about operational excellence, because that’s what makes ideas come to life as products, companies, and platforms for other people to build on. When ambitious founders find operating wisdom and experience that complements their vision, amazing things happen.”",David Orfao,General Catalyst
"I have spent my entire career working with great founders. Early on, my focus was scaling revenue for early-stage software companies. As those companies grew and went public, I rose with them to lead sales or the entire company. It was a great run, including technology leaders such as Lotus Development, Ashton-Tate, Frame Technology, Claris, and SQA.",David Orfao,General Catalyst
"The culmination was leading Allaire Corporation, which created Cold Fusion, the app server that launched the client-server web apps era. The company was small when I became CEO, but together with the Allaire brothers and team, we took it past $100 million in revenue in just a few years, and ultimately to a public offering and eventual merger into Macromedia/Adobe.",David Orfao,General Catalyst
