text,name,firm
"Jixun is a Managing Partner at GGV Capital, having joined the firm in 2006. He has more than 15 years experience in venture capital investing and have worked with many successful entrepreneurs. Jixun focuses on the online travel, mobile transportation, and on-demand service sectors. Jixun has led GGV’s investments in Qunar (NASDAQ:QUNR), Youku-Tudou (NYSE:YOKU), UCWeb, Didi Chuxing, Mogujie-Meilishuo, MediaV, and currently serves on the boards of Aiwujiwu, GrabTaxi, Tujia, Douguo and Diandian Yangche. Jixun played a critical role in many key strategic mergers and acquisitions, such as those of Youku-Tudou (first ever multi-billion dollar tech merger in China), Baidu/Qunar, Ctrip/Qunar, and Mogujie/Meilishuo.",jixun foo,GGV Capital
 ,jixun foo,GGV Capital
"Prior to joining GGV Capital, Jixun was a Director at Draper Fisher Jurvetson ePlanet Ventures, where he led investment efforts in Asian companies such as Baidu (NASDAQ:BIDU). Prior to DFJ ePlanet, Jixun headed up the Investment Group under the Finance & Investment Division of the National Science & Technology Board of Singapore (NSTB), and was previously a R&D project group leader at Hewlett Packard. Jixun graduated from the National University of Singapore with a First-Class Honors degree in Engineering, and received a M.Sc. in Management of Technology from the university's Graduate School of Business.",jixun foo,GGV Capital
"Jixun ranked 35th on The Forbes Midas List in 2015, and has been recognized by Forbes China as one of the “Best Venture Capitalists” every year since 2006. Jixun was recognized as one of the Top 10 Venture Capitalists by Zero2IPO, and was named ""VC Professional of the Year"" by the Asia Venture Capital Journal.",jixun foo,GGV Capital
"Jenny Lee joined GGV Capital in 2005 as a managing partner and was instrumental in setting up the GGV presence in China. As a self-professed geek, Jenny firmly believes that only the entrepreneurs who are passionate about products will be able to create new models and new products. As an investor, Jenny is focused on finding and partnering with disruptive technology companies that can change the traditional business models and create new value for users and enterprises.",jenny lee,GGV Capital
 ,jenny lee,GGV Capital
"Jenny’s previous operation and finance work experience with Singapore Technologies Aerospace, Morgan Stanley and JAFCO Asia enhanced her role as a preferred board mentor and investor to many entrepreneurs in China. Jenny graduated from Cornell University with a Masters and B.Sc. in Electrical Engineering and an M.B.A. from Kellogg School of Management, Northwestern University.  Jenny is a member of the Board of Directors for Kauffman Fellows, a leadership organization for innovation and capital formation. In her spare time, Jenny enjoys following the latest development of hacker technology and discussing new applications, new direction of products with entrepreneurs.",jenny lee,GGV Capital
"Since 2011, Jenny has been recognized by the Forbes Global 100 VC Midas List of top venture capitalists, ranking as the #1 woman and #10 overall in 2015.  In 2016, she was named to the Vanity Fair New Establishment list, Fast Company Most Creative People in Business list and was recognized by The New York Times and CB Insights among the top 100 venture capital investors worldwide, ranking #17 and one of the only two selected from Mainland China.  Jenny is also the recipient of Business China's Young Achiever Award, prestigious recognition awarded by the Singapore Deputy Prime Minister for helping to foster relationships between China and Singapore through technology and investment.",jenny lee,GGV Capital
"Jenny’s areas of focus are on consumer internet and SaaS companies especially those in mobile social, IoT, finance and education sectors. Jenny has led GGV’s investments in hiSoft (NASDAQ: PACT), 21Vianet (NASDAQ: VNET), SinoSun (SHE: 300333), YY (NASDAQ: YY) and successfully helped them go public. Jenny also serves on the board of other innovative private companies, including Liulishuo (a.k.a Lingo Champ), CashShield, eHang Technology, Keep, Kingsoft WPS, Niu.com, Phononic, Zuoyebang, Xiaozhan (Education), 51zhangdan (Finance) and UCWeb until it was acquired by Alibaba. Her other investments include Drive.ai, Momenta, and Clobotics.",jenny lee,GGV Capital
"
	A Managing Partner at GGV Capital, Jeff joined the firm in 2008 after spending 13 years as an entrepreneur and operating executive in the US and Asia. Prior to joining GGV, Jeff founded two venture-backed companies, one a success and one a “huge failure” in his own words – “I learned a lot.” His background as an entrepreneur gives him a unique perspective on the challenges of starting and running a venture-backed company, and he works closely with the GGV Talent team on Founders + Leaders.
	Jeff focuses on the Software and Internet sectors, and currently sits on the boards of or is a board observer at BigCommerce, one of the top ecommerce software platforms, Boxed, a rising star in the ecommerce space, Brightwheel, the leading SaaS provider for the early education vertical, Gladly, a next generation SaaS platform for customer care, Percolate, a leading marketing SaaS platform for global brands,PlushCare, a mobile platform for consumer healthcare, Reebonz, Southeast Asia’s leader in luxury ecommerce, Slice, a market network for the pizza industry, and Tile, the platform for location. Jeff also led GGV’s investments in Appirio (acquired in 2016 by Wipro), BlueKai (acquired in 2014 by Oracle), Buddy Media (acquired in 2012 by Salesforce), Citrus Lane (acquired in 2014 by Care.com), Evolv (acquired in 2014 by Cornerstone OnDemand), Flipboard, HotelTonight, ShiftGig, Voicera and Zylo, and has been actively involved in GGV’s investments in Domo, OpenDoor, Square and Wish.
	Prior to joining GGV, Jeff founded two software companies: R4, a supply chain SaaS business acquired by VeriSign (NASDAQ: VRSN), and QuantumShift, a telecom software business backed by Texas Pacific Group (TPG). Earlier in his career, Jeff worked in Asia and Latin America with PriceWaterhouseCoopers. Jeff graduated from Dartmouth College, where he was a four-year letterman on the basketball team and is on the Advisory Board for the Dartmouth Entrepreneur Network (DEN).
	Jeff is a frequent guest on CNBC and often writes on topics like startup management and leadership, venture-backed IPOs and shifts in tech trends across the US and China.
	Follow Jeff on Twitter @jrichlive or check out his LinkedIn profile for more information.
	 
",jeff richards,GGV Capital
