text,name,firm
"David is the CEO & managing partner at GV and oversees the fund’s global activities. He invests in a wide range of technology companies including Uber, Nest, Blue Bottle Coffee, and Urban Engines. David’s Google career began more than 17 years ago, as director of Global Communications and Public Affairs. In this role, David oversaw the company’s strategic communications programs worldwide, and worked as a member of the senior leadership team to grow Google from a small startup to a multi-billion dollar global enterprise.",david krane,Google Ventures
"David’s prior professional experience spanned both startup and public companies, including Apple Computer, QUALCOMM, Four11 (now Yahoo! Mail), and two computer security software developers.",david krane,Google Ventures
"David is also on the board of Metro-Goldwyn-Mayer Inc. (MGM), a member of Young President’s Organization (YPO), a trustee of San Francisco’s Contemporary Jewish Museum of Art, and a Menlo/Atherton Little League baseball coach. David received his Bachelor of Arts in journalism from Indiana University Bloomington. As a proud Hoosier alumnus, he serves on the Dean’s advisory board for the IU School of Informatics, Computing, and Engineering. David resides in the Bay Area with his wife, three children, and their labradoodle.",david krane,Google Ventures
"Vineeta is a physician-scientist who is passionate about the intersection of data science and health care. As a director of product management at Flatiron Health, she has led development of national-scale databases that integrate clinical and genomic data for drug development and research in oncology.",vineeta agarwala,Google Ventures
"Previously, Vineeta studied the genetic basis of common disease at the Broad Institute of Harvard & MIT. She has also been a computational researcher at Cold Spring Harbor Laboratory and Lawrence Livermore National Laboratory, an early data scientist at Boston-based health tech startup Kyruus, and a management consultant for biotech, pharmaceutical, and medical device clients at McKinsey & Company in New York.",vineeta agarwala,Google Ventures
Vineeta has a B.S. in biophysics from Stanford University. She also earned M.D. and Ph.D. degrees from Harvard Medical School and MIT. She is currently a medical resident at Stanford.,vineeta agarwala,Google Ventures
"Brian is a partner on the GV investing team focusing on investments in platforms, machine learning, and infrastructure.",brian bendett,Google Ventures
"Prior to joining GV, Brian managed projects at Google across people operations, finance, marketing, and corporate development. In a former life, Brian worked in private equity and spent time in Washington D.C. supporting the White House Council of Economic Advisers and the Office of the Vice President.",brian bendett,Google Ventures
"Brian is from West Hartford, Connecticut and graduated magna cum laude from Cornell University with a degree in economics.",brian bendett,Google Ventures
"Terri is a principal on the investing team at GV. Previously she was an associate product manager at Twitter, where she focused on user experience. Terri also worked as a developer evangelist and front-end engineer at Venmo, a mobile payments company.",terri burns,Google Ventures
"Terri studied computer science at New York University.  In her spare time, she speaks and writes on issues related to technology, diversity, and inclusion.",terri burns,Google Ventures
"Blake is an engineer, scientist, and entrepreneur who has been working with GV since 2010. As an investor, Blake partners with founders on life-science and digital companies — from drug development and healthcare delivery to financial services and information security. Blake’s life-science investments include Denali, Grail, and ARMO BioSciences, and his digital investments include Gusto (formerly ZenPayroll), Robinhood, Ionic Security, and LendUp. ",blake byers,Google Ventures
"Prior to GV, Blake helped start two companies, led research projects on biomedical engineering and stem cells at Stanford, and was an angel investor. ",blake byers,Google Ventures
Blake received a Ph.D. and master’s in bioengineering from Stanford University and holds Bachelor of Science degrees in biomedical engineering and economics from Duke University.,blake byers,Google Ventures
"Tyson is a general partner at GV. He spent his career in enterprise technology, focusing on companies in the SaaS application and data center infrastructure spaces.",tyson clark,Google Ventures
"Prior to joining GV, Tyson was a partner at Andreessen Horowitz, where he was on the corporate development team and advised enterprise portfolio companies. He led acquisitions in the enterprise SaaS space for Oracle’s corporate development group, and worked as an investment banker at Morgan Stanley, where he oversaw IPO and M&A transactions for a variety of cloud companies.",tyson clark,Google Ventures
"Tyson spent six years in the United States Navy, serving on submarines as both as a nuclear propulsion officer and Navy scuba diver.",tyson clark,Google Ventures
Tyson holds a B.S. in industrial engineering from Stanford (with honors) and an MBA from Harvard Business School.,tyson clark,Google Ventures
"Karim leads GV’s investments in enterprise software, data analytics, and security. He brings over a decade of operational and investment experience to his role. He initially joined Google’s corporate development team in 2008, the group responsible for all mergers and acquisitions and has been at GV since inception.",karim faris,Google Ventures
"Prior to Google, Karim was a venture capitalist at Atlas Venture, where he worked on investments in software and Internet infrastructure. Previously, he was director of New Ventures at Level 3 Communications, responsible for evaluating new business opportunities and has led product development for the company’s voice services. Earlier in his career, Karim held various product and marketing roles at Intel, initially on the i486™, and later as product manager for the Pentium® Processor. He started his career at Siemens as a software engineer working on the first vehicle navigation system for BMW.",karim faris,Google Ventures
"Karim holds an MBA from the Harvard Business School, an M.S. in electrical engineering from the University of Michigan, and a B.S. in computer engineering from Brown University where he published several papers on neural networks.",karim faris,Google Ventures
"Tom is a general partner at GV. Prior to GV, Tom was a design director at IDEO Europe. He founded OpenIDEO, an open innovation platform where 100,000 users from more than 170 countries solve challenges for social good. Tom also launched OIEngine, a SaaS platform with clients including Harvard Business School and the Knight Foundation.",tom hulme,Google Ventures
"Prior to IDEO, Tom was managing director of Marcos, a British sports car manufacturer and founded Magnom, a magnetic filter startup. Tom’s filter designs have been widely used in Formula One, superbikes, agricultural equipment, and central heating systems.",tom hulme,Google Ventures
"Tom has also angel-invested in more than 20 companies, including as the founding investor in Mile IQ (sold to Microsoft). ",tom hulme,Google Ventures
"Tom has been recognized as a Young Global Leader by the World Economic Forum, and has been featured in WIRED UK’s Top 100 Digital Power Brokers list every year since the list was established. He has also been included in the Evening Standard list of London’s 1000 Most Influential People.",tom hulme,Google Ventures
"Tom earned a first class bachelor’s degree in physics from the University of Bristol, and an MBA from Harvard Business School, where he received the Baker Scholar Award of high distinction. He also received an honorary doctorate from University of the Arts London.",tom hulme,Google Ventures
Joe has been with GV since 2009.,joe kraus,Google Ventures
"Prior to GV, Joe was a two-time entrepreneur. In 1993, he co-founded Excite.com, an early Internet search engine, holding multiple positions in the company, including leadership roles in product, business development, and marketing. More recently, he co-founded JotSpot in 2004, a wiki company that was acquired by Google in 2006. While at Google, Joe had multiple product management roles including Blogger, Picasa, Sites, Friend Connect, and OpenSocial.",joe kraus,Google Ventures
"In addition, Joe has been an active angel investor in multiple companies, including LinkedIn, Aardvark (sold to Google in 2010), Kongregate, and OpenCandy. Joe is also on the board of the Electronic Frontier Foundation (EFF.org).",joe kraus,Google Ventures
Joe received a B.A. from Stanford University.,joe kraus,Google Ventures
"John is a partner at GV, focused on investments in consumer marketplaces, e-commerce and enterprise companies. Prior to joining GV, John spent a decade at Google where he most recently served as head of partnerships and marketing for Google for Entrepreneurs, overseeing partnerships with accelerators and incubators globally. He also created Google Demo Days to spotlight high-growth technology startups from around the world.",john lyman,Google Ventures
"John’s career prior to Google focused on progressive policy and advocacy. He was an early employee and helped launch the Clinton Global Initiative (CGI) to convene world leaders to solve pressing global challenges, and worked at the Center for American Progress (CAP), a progressive think tank in Washington D.C.",john lyman,Google Ventures
"John graduated from Georgetown University with a degree in government and has a master’s in public policy from the University of California, Berkeley.",john lyman,Google Ventures
"Shaun is an entrepreneur, investor, and scientist with a broad and eclectic background. As an investor and adviser, Shaun has worked with companies building everything from quantum computers to self-driving cars. ",shaun maguire,Google Ventures
"Prior to GV, Shaun co-founded two companies: Qadium and Escape Dynamics. Qadium is a San Francisco-based cybersecurity company that creates and organizes information about the world’s networked devices. Shaun is chairman at Qadium and maintains an active role there. Escape Dynamics built a space propulsion system based upon wireless power transfer that demonstrated an extremely high specific impulse. Shaun also previously worked at the Defense Advanced Research Projects Agency (DARPA). He was deployed to Afghanistan for three months and his team received a Joint Meritorious Unit Award for their work.",shaun maguire,Google Ventures
"Shaun has a master’s degree in statistics from Stanford, and masters degrees in mathematics and ‘control and dynamical systems’ from Caltech. He expects to receive his Ph.D. from Caltech by the summer of 2018. His doctorate research focused on quantum aspects of black holes.",shaun maguire,Google Ventures
"Laura joined GV in 2011 and is a partner on the investing team. Previously, she established GV’s marketing function, working with our portfolio on branding and growth.",laura melahn,Google Ventures
"Laura named Calico, Alphabet’s company aiming to slow aging and counteract age-related diseases. Prior to joining GV, Laura was a product marketing manager at Google, where she worked on Search, Maps, Analytics, and the brand. She developed the Street View snowmobile for the 2010 Winter Olympics and helped bring Search Stories to TV. Previously, Laura conducted research at the Cancer Research Center of Hawaii and in the University of Oxford biochemistry department.",laura melahn,Google Ventures
