.,name,firm
"Alex Morgan is a Principal on the investment team at Khosla Ventures where he has a special focus in biotechnology, healthcare, data science, and AI/ML.  Alex has an MD and PhD in biomedical informatics from Stanford, with a dissertation on machine learning methods in precision medicine under the supervision of Atul Butte.  Alex has completed additional graduate work in biology and physics and a short postdoctoral fellowship in biochemistry and genetics with Ronald W. Davis at the Stanford Genome Technology Center.  ",Alex Morgan,Khosla Ventures
"As a scientist, he has published over 50 scientific publications, primarily at the intersection of computer science, biology, and healthcare.  As an inventor, he has licensed IP to three separate companies.  As an entrepreneur, he has worked as an early employee or co-founder at a range of startups. He currently sits on the boards of some of Khosla Ventures’ investments, including Deep Genomics and HeartVista. ",Alex Morgan,Khosla Ventures
"Alex is committed to improving access to healthcare to underserved communities through community service, and served as co-manager of the volunteer-staffed Arbor Free Clinic in Menlo Park, where he also worked as head of IT and helped develop and deploy their electronic medical records system. Alex is particularly interested in helping to advance diversity in STEM fields, including technology entrepreneurship.   ",Alex Morgan,Khosla Ventures
"Ben is an investment partner at Khosla Ventures, where he focuses on consumer, Internet, mobile, marketplace, SaaS and consumer health businesses. Since joining the firm, he’s led investments in Academia.edu, Canary, HackerRank and Tapingo, among many others.",Ben Ling,Khosla Ventures
"Previously, Ben served in senior operating roles at Google, YouTube and Facebook. He also is an active angel investor with early stakes in Square, Palantir, Quora and PracticeFusion. Further, Ben served as an advisor to both Pinterest and Pulse.",Ben Ling,Khosla Ventures
"While at Google, he served as senior director of search and local business products, which included overseeing Google Images, Videos, Books, News and Finance. At YouTube, Ben was senior director of partnerships and platform, where he was responsible for music, movies, sports and news, as well as mobile, television and API partnerships. In his first role at Google, he was the founder and general manager of Google’s commerce group, which includes Google Wallet and Google Shopping.",Ben Ling,Khosla Ventures
"At Facebook, Ben was the first director of the Facebook platform and oversaw the development of the company’s developer ecosystem. He also led product, marketing, developer operations and partner solutions. Ben played a crucial role in developing Facebook Connect, which helped grow Facebook across the web.",Ben Ling,Khosla Ventures
"Ben holds a bachelor’s of science degree in electrical engineering and computer science from the University of California, Berkeley. He also holds a master’s degree and doctor of philosophy degree in computer science from Stanford University. Ben is a Department of Defense fellow and a recipient of the University of California, Berkeley’s Bechtel achievement award, which distinguishes the top graduating student from its college of engineering.",Ben Ling,Khosla Ventures
Ex-Googler Ben Ling Brings His Operations Experience To Khosla Ventures,Ben Ling,Khosla Ventures
"Former Badoo COO and ex-Googler Ben Ling has joined Khosla Ventures, according to sources. Ling, who has held senior operations roles for a number of big companies in the mobile and Internet space, has been added to a growing team at Vinod Khosla’s venture firm.",Ben Ling,Khosla Ventures
 ,Ben Ling,Khosla Ventures
"David is a partner at Khosla Ventures, where he focuses on Internet software and services. A number of his investments have led to significant acquisitions or achieved initial public offerings including Climate Corporation [acquired by Monsanto], Okta [NASDAQ: OKTA], OnDeck Capital [NYSE: ONDK], RingCentral [NYSE: RNG], Yammer [acquired by MSFT] and YuMe [NYSE: YUME].",David Weiden,Khosla Ventures
"David began working in door-to-door sales in high school, where he learned to build businesses one deal at a time. One sales pitch led to a full-time job at McCaw Cellular, now AT&T. In the mid-1990’s, while at Morgan Stanley, David helped finance the build-out of nationwide mobile networks working with the companies that are now T-Mobile and Verizon. He later researched the emerging mobile Internet.",David Weiden,Khosla Ventures
"In 1995, after being told by his employer Morgan Stanley that email would never be used for business, David jumped at the chance to join Netscape, where he was able to learn from some great leaders and managers. After helping guide strategy for the company, he led the directory and security division, which offered one of the first commercial products to support Linux and open source. Later, David led AOL’s communications, community and instant messaging product divisions as they surpassed 50 million users worldwide. David then joined Tellme Networks as a senior vice president of marketing and business development. Using the quantitative decision making framework, RIFLE, the company drove revenue to over $100 million. Subsequently, Tellme was acquired by Microsoft.",David Weiden,Khosla Ventures
David holds a bachelor’s degree magna cum laude with highest honors in organizational behavior and economics from Harvard University. He also took additional engineering coursework at the Massachusetts Institute of Technology (MIT) and New York University (NYU). David has been recognized by Fortune and Forbes as one of the top technology investors.,David Weiden,Khosla Ventures
"Delian joined Khosla Ventures in May of 2017 as Chief of Staff to Keith Rabois. Most recently, Delian had been a general manager at one of the Khosla portfolio companies, Teespring, focused on growing the marketplace and influencer divisions. Previously, Delian founded and was CEO of Nightingale (YC S14), an electronic medical record and mobile app used by behavioral and speech therapists in Autism therapy.",Delian Asparouhov,Khosla Ventures
"Delian was born in Bulgaria and raised in Utah, and went to MIT. He moved out to the Bay Area in 2013 as part of the third class of the Thiel Fellowship. He enjoys Barry’s Bootcamp, skiing, reading, and watching professional esports and rocket launches.",Delian Asparouhov,Khosla Ventures
"Kanu Gulati is a Principal at Khosla Ventures, focused on investments in data and ML-enabled enterprise applications. Kanu has over 10 years of operating experience as an engineer, scientist, and strategist. She developed advanced parallel CAD solutions and owned Intel’s multicore CAD algorithms research roadmap. Kanu has led early-stage investments in high performance computing (HPC), distributed systems and ML-enabled systems at Intel Capital and Zetta Venture Partners.",Kanu Gulati,Khosla Ventures
"Kanu was Employee #2 at MapD (hardware-accelerated data visualization) and has also held engineering roles at Nascentric (fast-circuit simulation tool, acquired by Cadence) and Atrenta (predictive analytics for design verification and optimization, acquired by Synopsys), among other startups.",Kanu Gulati,Khosla Ventures
" Kanu has co-authored 3 books, has had a chapter featured in a book, been published in 35+ peer-reviewed publications with 450+ citations, and holds a US patent on HPC and hardware acceleration. She has a PhD and master’s degree from Texas A&M University and an undergraduate degree from Delhi College of Engineering. Kanu completed her MBA at Harvard Business School, where she was co-president of the annual Venture Capital and Private Equity Conference.",Kanu Gulati,Khosla Ventures
"Keith is an investment partner at Khosla Ventures. His focus at the firm includes consumer Internet, education, enterprise, financial services and digital health. Since joining KV, he’s led investments in Stripe, Thoughtspot, HealthTap and Teespring among many others. He also started the real estate startup OpenDoor, which aims to transform the process of selling a home through technology.",Keith Rabois,Khosla Ventures
"Keith has a unique and unparalleled track record as an entrepreneur, executive and investor. Over the last decade, he has forged several of the most important new social and commerce platforms. Keith began his career in the industry as a senior executive at PayPal [NASDAQ: PYPL, later acquired by EBAY] and subsequently served in influential roles at LinkedIn [NYSE: LNKD] and as chief operating officer of Square.",Keith Rabois,Khosla Ventures
"As a board member, Keith guided Yelp [NYSE: YELP] and Xoom [NASDAQ: XOOM] from inception to successful initial public offerings. Simultaneously, he also invested in other like-minded entrepreneurs with early stakes in YouTube [acquired by GOOG], Yammer [acquired by MSFT], Palantir, Lyft, AirBnB, Eventbrite and Quora.",Keith Rabois,Khosla Ventures
"Earlier in his career, Keith was a litigator at the preeminent Wall Street law firm Sullivan and Cromwell, after clerking for the United States Court of Appeals for the fifth circuit.",Keith Rabois,Khosla Ventures
Keith holds a bachelor’s degree in political science from Stanford University and a juris doctor degree with honors from Harvard University.,Keith Rabois,Khosla Ventures
“If You Go to Google You Are Going to Waste Your Brain”,Keith Rabois,Khosla Ventures
"The first Collision Conference has brought together tech industry leaders to Downtown Las Vegas, including Keith Rabois investor at Khosla Venture and most recently COO at Square.  ",Keith Rabois,Khosla Ventures
Khosla Ventures’ Keith Rabois finally launches his real estate startup,Keith Rabois,Khosla Ventures
"Keith Rabois, the fast-talking Khosla Ventures investor and former Square executive, has been carrying around a big idea for 11 years. Now he’s finally ready to act on it.",Keith Rabois,Khosla Ventures
 Focused on Enabling Internet Commerce: Collison,Keith Rabois,Khosla Ventures
Stripe CEO and Co-Founder Patrick Collison and Khosla Ventures’ Keith Rabois discuss mobile payments on Bloomberg Television’s “Bloomberg West.” (Source: Bloomberg),Keith Rabois,Khosla Ventures
 ,Keith Rabois,Khosla Ventures
"Kristina Simmons is Chief of Staff at Khosla Ventures where she focuses on investments in areas that can be positively impacted with technology, such as in health, agriculture, food, mobile, and transportation. She works with Vinod Khosla on strategic projects for the firm, and advises and supports portfolio companies on fundraising, product, business development, marketing, and general strategy.",Kristina Simmons,Khosla Ventures
" Previously, Kristina has advised and consulted dozens of startups across consumer brands, health, mobile/software, and hardware. At Juicero she was the first marketing hire and led marketing and business development. Prior, she was a Partner at Andreessen Horowitz helping portfolio companies accelerate go-to-market, product, and business development strategies. Before a16z, she was a leader at lululemon athletica where she was responsible for digital, emerging products and concepts (innovation including new brand strategy, product development/mobile, and international expansion), and strategic partnerships. Kristina holds a Bachelor of Arts from the University of Michigan.  ",Kristina Simmons,Khosla Ventures
"Rafi Syed is a Principal at Khosla Ventures, where he focuses on consumer, mobile, marketplace, SaaS, financial services, and consumer health businesses. He is actively involved with the firm’s investments, some of which include, Homebase and Kiddom.",Rafi Syed,Khosla Ventures
"Previously, Rafi was on the founding team of Maven, a direct-to-consumer healthcare company in the telemedicine space, an early product manager leading the growth team at Foursquare, and a venture capital investor at Bessemer Venture Partners in New York. While at Bessemer, Rafi co-managed the firm’s seed investing program and led the firm’s thought leadership in marketplaces, video, and verticalized SaaS.",Rafi Syed,Khosla Ventures
"Rafi holds a bachelor’s of science in business and a bachelor of arts in economics, with a minor in Computer Science from the University of California, Berkeley, from which he graduated with honors. ",Rafi Syed,Khosla Ventures
"Samir is a founding general partner at Khosla Ventures, where he focuses on health, sustainability, food and advanced technology investing.",Samir Kaul,Khosla Ventures
"Samir grew up in a family of engineers and doctors. Both his father and uncle were early engineers in a pioneering satellite communications company where Samir worked during summer breaks from high school and college. However, it became clear during high school that it was biology, rather than engineering, that was his true passion. This led him to attend the University of Michigan, where he majored in biology and taught undergraduate biochemistry. He then continued on to graduate school to study biochemistry at the University of Maryland.",Samir Kaul,Khosla Ventures
"While at Maryland, Samir heard Craig Venter speak about the genomics revolution. Venter’s Institute for Genomic Research (TIGR) had recently sequenced the first complete genome (a bacterium frequently associated with influenza infections) in record time using automated, state-of-the-art technology. What would have taken weeks in graduate school now took minutes at TIGR. Venter also signed a historic deal with SmithKline Beecham to identify the important genes responsible for human disease. Sensing a paradigm shift in the making, Samir joined TIGR to work on the genome of Arabidopsis thaliana, a member of the mustard family, which was a model organism for understanding agricultural staples such as rice, corn and wheat. Thereafter, Samir was promoted to run the project both within TIGR and internationally as the chairperson of the Arabidopsis Genome Initiative (AGI). Under his direction, the project was completed years before schedule and well under budget, culminating in a historic publication in the scientific journal Nature in December 2000.",Samir Kaul,Khosla Ventures
"Once again, it was time for a change as sequencing a genome was no longer a rare event, so Samir went to Harvard Business School to pursue an MBA. With a strong scientific background and experience running large project teams, this provided the business training he needed to enter industry. Upon graduating, he joined Flagship Ventures to start and invest in early-stage biotechnology companies. During his five years there, Samir was involved in starting and investing in a number of companies including Helicos BioSciences [IPO], Epitome [Millipore], Codon Devices, LS9 [REG] and Morphotek [Eisai]. Helicos, which was co-founded with Stan Lapidus and Steve Quake from Stanford, is developing single-molecule sequencing instruments to revolutionize personalized medicine. As CEO at Codon Devices, Samir raised the series A financing, built the technical and advisory teams and booked significant revenues in the company’s first year of operations.",Samir Kaul,Khosla Ventures
"Vinod Khosla was a seed investor in Codon, and it was there that their relationship began. Vinod had been researching ethanol and bio refineries since 2004 and was convinced that they would be the next revolution in technology. Samir was soon persuaded to leave Flagship Ventures, and in 2006, he became a founding general partner at Khosla Ventures focusing primarily on renewable energy, sustainability and life science investing.",Samir Kaul,Khosla Ventures
"“What I am most proud of are the remarkable people with whom I have had the privilege of working in order to build these companies,” says Samir. “There is no greater joy in this business than to be surrounded by exceptional people working towards a common goal.”",Samir Kaul,Khosla Ventures
"Samir holds a bachelor’s degree in biology from the University of Michigan. He also studied biochemistry, specifically gene regulation and expression, at the University of Maryland. He also holds a master’s degree in business administration from Harvard University.",Samir Kaul,Khosla Ventures
Samir is active in philanthropy and been a longstanding member of the leadership committee of the Tipping Point Community. He is also a UCSF Benioff Children’s Hospital board member.,Samir Kaul,Khosla Ventures
"In his free time, Samir enjoys golf, skiing, tennis, meditation, reading and traveling. He is an avid sports fan with undying loyalty to the Michigan Wolverines, Washington Redskins and Boston Red Sox.",Samir Kaul,Khosla Ventures
Life Sciences,Samir Kaul,Khosla Ventures
"Current: OSCAR, Guardant, Neurotrack, Carrot, Vicarious Surgical, Whole Biome, Siolta, Iora, Eligo, Ultima Genomics and several others in stealth mode.",Samir Kaul,Khosla Ventures
"Exited: Morphotek [Eisai], Helicos [IPO], Editas [IPO], Epitome [Millipore]",Samir Kaul,Khosla Ventures
Sustainability,Samir Kaul,Khosla Ventures
"Current: Impossible Foods, Ripple, Hampton Creek, Quantumscape, View, Soraa, SLD, Bidgely, EtaGen",Samir Kaul,Khosla Ventures
"Exited: Ausra [AREVA], Climate Corp [Monsanto], Cogenra [SPWR], NanoH2O [LG], Sakti3 [Dyson], Seeo [Bosch], Virdia [SENSO], LS9 [REG], Amyris [IPO], Gevo [IPO], EchoFirst [SUNE],Granular [DUPONT]",Samir Kaul,Khosla Ventures
Technology,Samir Kaul,Khosla Ventures
"Current: Cadre, Velo3d, Pymetrics, Bridge Schools, Tectus, PullString, Big Switch, b8ta, and others.        ",Samir Kaul,Khosla Ventures
"Exited: Hunch [eBay], Nutanix [IPO]    ",Samir Kaul,Khosla Ventures
"Sven is the chief technology officer (CTO) of Khosla Ventures and an engineer at heart. He has worked on numerous technologies ranging from autonomous robots, automotive LED front lighting, user interface and display technologies to RFID systems for production verification. During his tenure at KV, Sven has led the technical diligence for numerous investment opportunities in both IT and sustainability. He is excited by technologies that enable novel user experiences or markedly change the efficiency of operations.",Sven Strohband,Khosla Ventures
"Prior to joining KV, Sven spent six years at Mohr Davidow Ventures, starting as an associate and culminating as the CTO of the firm, where he led the firm-wide technical diligence process for the infrastructure IT and sustainability practices. During this time, Sven worked with technology companies in areas ranging from advertising automation to columnar storage. He also helped portfolio companies recruit technical talent, manage milestones, run product-market fit experiments and craft fundraising strategies.",Sven Strohband,Khosla Ventures
"Previously, Sven was a project manager for the Electronics Research Lab of Volkswagen in Silicon Valley, where he led numerous technical projects for all Volkswagen brands ranging from LED front lighting (Audi), electro chromic glass (Volkswagen), RFID systems for production verification, driver assistance systems and robotics. His duties included leading the technical team, presenting research findings to board-level executives at the company’s headquarters in Germany, crafting intellectual property roadmaps and the adoption strategy of those technologies by different brands. The most visible project was likely his role as the lead engineer and project lead for the Stanford racing team’s autonomous car, Stanley. Stanley became the foundation for the Google self-driving car project and also won the 2005 DARPA Grand Challenge and is now on display at the Smithsonian Museum.",Sven Strohband,Khosla Ventures
"Sven holds a bachelor’s of science degree in mechanical engineering from Purdue University, where he served as system administrator for the mechanical engineering department’s computer network to finance his studies. He also holds a doctor of philosophy degree in mechanics and computation from Stanford University. His Ph.D. research was funded by IBM and Intel and focused on the simulation of failure in semiconductor structures using high-performance computing (HPC) clusters.",Sven Strohband,Khosla Ventures
"In his spare time, Sven enjoys teaching his kids to code, flying autonomous drones and cycling. He also regularly serves as a mentor for Stanford’s E245 “Lean Launchpad” class.",Sven Strohband,Khosla Ventures
"Vijit is a venture partner at Khosla Ventures, where he focuses on emerging physical and life science technologies spanning a broad range of sectors including consumer, health, energy, sustainability, computation and communications.",Vijit Sabnis,Khosla Ventures
"Prior to Khosla Ventures, Vijit was a co-founder and the CEO of Solar Junction, a manufacturer of high-efficiency multi-junction solar cells, where he helped solve a long-standing materials science challenge and subsequently achieved two world records in solar cell efficiency. The company was later acquired by Taqnia International, the U.S. subsidiary of the Saudi Technology Development and Investment Company.",Vijit Sabnis,Khosla Ventures
"Previously, Vijit was an early employee at Translucent, a startup developing advanced semiconductor technologies for the electronics and photonics markets. While there, he focused on developing complementary metal-oxide semiconductor (CMOS) chip-compatible lasers that would enable inter- and intra-chip and rack optical communications without the speed and power limitations associated with traditional copper electrical interconnect. He also led the team to create the world’s first rare-earth oxide light emitters for integration into silicon waveguides and win a multi-year contract from the Defense Advanced Research Projects Agency (DARPA) contract. Translucent was acquired by Silex Systems [ASX: SLX].",Vijit Sabnis,Khosla Ventures
"While he was a graduate student at Stanford, Vijit helped incubate a new laser technology that led to the formation of the Santur Corporation. The company developed the laser technology into the number one tunable laser product in the world and was acquired by Neophotonics [NYSE: NPTN].",Vijit Sabnis,Khosla Ventures
"Vijit holds a bachelor’s of science degree in electrical engineering and computer science with highest honors from the University of California, Berkeley. He also holds a master’s of science degree and doctor of philosophy degree in electrical engineering from Stanford University, where he received a National Science Foundation fellowship and a Stanford electrical engineering department fellowship. His dissertation focused on developing and demonstrating optically controlled electro-absorption modulators as efficient wavelength converters for integration into optical routers.",Vijit Sabnis,Khosla Ventures
"In his spare time, Vijit enjoys the outdoors including but not limited to hiking, running and tennis. As an enthusiastic sports fan, he closely follows the Los Angeles Lakers, the San Francisco 49ers and Giants, in addition to his both his alma maters’ sports teams. ",Vijit Sabnis,Khosla Ventures
"Vinod Khosla is an entrepreneur, investor and technologist. He is the founder of Khosla Ventures, a firm focused on assisting entrepreneurs to build impactful new energy and technology companies. Vinod grew up dreaming of being an entrepreneur, despite being from an Indian army household with no business or technology connections. Since the age of 16, when he first heard about the founding of Intel, he dreamt of starting his own technology company.",Vinod Khosla,Khosla Ventures
"After graduating with a bachelor’s degree in electrical engineering from the Indian Institute of Technology (IIT) in New Delhi, Vinod failed to start a soymilk company to service the many people in India who did not have refrigerators. Instead, he came to the U.S. to further his academic studies and received a master’s degree in biomedical engineering from Carnegie Mellon University. Eventually, his startup dreams led him to Silicon Valley, where he received a master’s degree in business administration from the Stanford University Graduate School of Business.",Vinod Khosla,Khosla Ventures
"Upon graduation, Vinod co-founded Daisy Systems, the first significant computer-aided design system for electrical engineers. The company went on to achieve significant revenue, profits and an IPO. Then, driven by the frustration of having to design the computer hardware on which the Daisy software needed to be built, Vinod started the standards-based Sun Microsystems in 1982 to build workstations for software developers. As the founding CEO of Sun, he pioneered open systems and commercial RISC processors. Sun Microsystems was funded by Vinod’s longtime friend and board member John Doerr of Kleiner Perkins Caufield and Byers (KPCB).",Vinod Khosla,Khosla Ventures
"In 1986, Vinod joined KPCB as a general partner. While there, he played a crucial role in taking on Intel’s monopoly by building and growing semiconductor company, Nexgen, which eventually was acquired by Advanced Micro Devices (AMD). Nexgen/AMD was the only microprocessor to have significant success against Intel. Thereafter, Vinod helped incubate the idea and business plan for Juniper Networks to take on Cisco System’s dominance of the router market. He also was involved in the formulation of the early advertising-based search strategy for Excite. In addition to his many other contributions at KPCB, he helped transform the moribund telecommunications business and its archaic SONET implementations with Cerent Corporation, which was acquired by Cisco Systems in 1999 for $7.2 billion.",Vinod Khosla,Khosla Ventures
