text,name,firm
"
Eric Feng rejoined Kleiner Perkins in 2015 and focuses on consumer Internet investments and incubations. Eric was previously with the firm in 2010, where he worked across the sustainability and digital practices and was Chief of Staff to Vice President Al Gore.","
        Eric Feng
      ",KPCB
"Prior to Kleiner Perkins, Eric was the chief technology officer at Kleiner Perkins portfolio company Flipboard, a personal magazine application for mobile devices with more than 100MM users worldwide that has raised more than $200MM in funding. At Flipboard, Eric led the global engineering team as well as strategic partnerships and company strategy, including financings and M&A. Eric also incubated Erly while at Kleiner Perkins, a social platform for organizing and sharing personal content funded by Kleiner Perkins (acquired in 2012).","
        Eric Feng
      ",KPCB
"Before joining Kleiner Perkins, Eric was the founding CTO and head of product at Hulu, a joint venture of NBC Universal, News Corp. and The Walt Disney Company. Under Eric’s leadership, Hulu.com was recognized as the Associated Press Website of the Year (2008), the PC World Best Product (2008), and the TIME magazine Best Invention (ranked No. 4 in 2008) among other honors. Earlier in his career, Eric’s experiences include leadership roles at Microsoft Research and founding two startups which were both acquired.","
        Eric Feng
      ",KPCB
Eric earned his B.S. degree in electrical engineering from the University of Texas at Austin and received the IEC Everitt Award as the top graduating engineering student.,"
        Eric Feng
      ",KPCB
We have changed our privacy policy.,"
        Eric Feng
      ",KPCB
"
        Affiliated Funds:
        China I & II,
        Green Growth Fund
      ","
        Eric Feng
      ",KPCB
"Sign up to receive our updates about trends in tech, venture capital, and startups.","
        Eric Feng
      ",KPCB
"Ilya Fushman joined Kleiner Perkins in 2018 as general partner and managing member. Prior to Kleiner Perkins, Ilya was a general partner at Index Ventures in 2015, where he worked on the firm’s investments and held board positions in companies such as Slack, Intercom, Optimizely, KeepTruckin, CultureAmp, Built, CoverWallet, Scratch, and Nova Credit. Prior to Index, Fushman spent four years at Dropbox where he was one of the company’s first 75 employees.  At Dropbox, he helped to build and run the company’s business and corporate development functions before taking on a product leadership role and building out the core Dropbox product, Dropbox for Business, and the developer platform. Previously, Fushman was a principal at Khosla Ventures and the Director of Technology at Solar Junction.","
        Ilya  Fushman 
      ",KPCB
He holds a Ph.D. in Applied Physics and an M.S. in Electrical Engineering from Stanford University and a B.S. in Physics from Caltech.,"
        Ilya  Fushman 
      ",KPCB
We have changed our privacy policy.,"
        Ilya  Fushman 
      ",KPCB
"
        Affiliated Funds:
        China I & II,
        Green Growth Fund
      ","
        Ilya  Fushman 
      ",KPCB
"Sign up to receive our updates about trends in tech, venture capital, and startups.","
        Ilya  Fushman 
      ",KPCB
"Prior to joining Kleiner Perkins, Mamoon was a Co-Founder and General Partner at Social Capital. Mamoon has been an early investor in and served on the boards of some of the most innovative software companies of recent times including Slack, Box, Yammer (acquired by Microsoft), Intercom and Netskope.  Prior to Social Capital, he was a Partner at U.S. Venture Partners (USVP).  Mamoon started his Silicon Valley career at Xilinx where he spent six years in various engineering and business roles. He holds a BS in Electrical Engineering from Purdue University, an MS from Stanford University and an MBA from the Harvard Business School.","
        Mamoon Hamid
      ",KPCB
We have changed our privacy policy.,"
        Mamoon Hamid
      ",KPCB
"
        Affiliated Funds:
        China I & II,
        Green Growth Fund
      ","
        Mamoon Hamid
      ",KPCB
"Sign up to receive our updates about trends in tech, venture capital, and startups.","
        Mamoon Hamid
      ",KPCB
,"
        Wen Hsieh
      ",KPCB
"Wen focuses on hardware-related investments – HardTech – such as enterprise IT infrastructure (data storage, networking, compute), AI, industrial/enterprise IoT, disruptive digital devices (wearables, mobile phones, consumer electronics), AR/VR, drones, robotics, autonomous vehicle tech, next-gen semiconductors, advanced manufacturing technologies, space tech, energy storage and sustainability opportunities.","
        Wen Hsieh
      ",KPCB
"Wen has worked as board director/observer – and sometimes as a co-founder – with the entrepreneurs at AEye, Ambiq Micro, Amprius, Amyris (AMRS), Bloom Energy, Crossbar, Desktop Metal, DJI, General Radar, LuxVue Technology (acquired by Apple), mCube, Motiv, Pavilion Data Systems, Qumulo, relayr, Ripcord, Shoof Technologies, Spatial Photonics (acquired by Himax Display), SpinLaunch, Tidal Systems (acquired by Micron Technology) and Voltafield.","
        Wen Hsieh
      ",KPCB
"Before joining Kleiner Perkins, Wen was an Associate Principal at McKinsey & Company San Francisco and a leader of McKinsey’s Asia semiconductor practice. During his five years at McKinsey, Wen focused primarily on serving leading companies across the global semiconductor value chain. His secondary focus at McKinsey was on the North America biopharma sector. Earlier in his career, Wen founded OnChip Technologies, a startup developing MEMS microfluidic biochips. OnChip’s target market was high-sensitivity and high-throughput peptide separation and identification applications.","
        Wen Hsieh
      ",KPCB
"Wen earned a B.S. with honors, an M.S., and a Ph.D. in electrical engineering, plus a Ph.D. minor in biology, all from the California Institute of Technology.","
        Wen Hsieh
      ",KPCB
We have changed our privacy policy.,"
        Wen Hsieh
      ",KPCB
