text,name,firm
,"
              Aaron              
              Batalion            ",Lightspeed Venture Partners
"Aaron has always been fascinated by technology. At 10, he wrote his first line of code. At 22, he earned a degree in computer science. At 23, he led development of Steve Case’s RevolutionHealth. At 25, he cofounded Hungry Machine, later known as LivingSocial. And since 2015, he’s been a partner at Lightspeed with a focus on consumer technology.","
              Aaron              
              Batalion            ",Lightspeed Venture Partners
"But Aaron’s career in tech nearly wasn’t. In addition to a degree in computer science, he earned a degree in East Asian philosophy, which, after college, took him to Japan. There, he planned to lead his life as a Buddhist monk.","
              Aaron              
              Batalion            ",Lightspeed Venture Partners
"“But,” he says, “I realized my ADD wouldn’t let me sit still for 50 years.”","
              Aaron              
              Batalion            ",Lightspeed Venture Partners
"It turned out to be a good thing. As CTO of one of the first “unicorns,” Aaron helped grow LivingSocial from four employees in 2007 to more than 4,500 in 2011. At its height, the company reached over 80 million consumers, scaled to 25 countries, and hit billions in global sales. The company was later acquired by Groupon.","
              Aaron              
              Batalion            ",Lightspeed Venture Partners
"“After LivingSocial, I took time off to spend with family,” Aaron says. “But I was drawn back to startups, because I loved the excitement of going from a whiteboard to the first million users and more.”","
              Aaron              
              Batalion            ",Lightspeed Venture Partners
"Aaron spent three years as an angel investor and advisor, where he worked closely with 40-plus companies on technology, product, and growth. As a recent founder himself, he realized he wanted to help entrepreneurs full time and was lured to Lightspeed by Jeremy Liew, who not only led Lightspeed’s investment in LivingSocial in 2010, but also served on the company’s board.","
              Aaron              
              Batalion            ",Lightspeed Venture Partners
"Why did Aaron join Lightspeed? “The founders of the fund are still here, they’ve taken dozens of companies to IPO, and there are 20-plus unicorns in the portfolio today—I knew I could bring a unique perspective to the team but also learn a lot from them.”","
              Aaron              
              Batalion            ",Lightspeed Venture Partners
"Still, it’s his recent experience on the founder’s side of the table that affords Aaron insights into the company-building process, from an empty git repository to billions in sales. “I don’t see this as a job,” he says. “I wake up every morning excited to help founding teams build tomorrow, today.”","
              Aaron              
              Batalion            ",Lightspeed Venture Partners
,"
              Adam              
              Goldberg            ",Lightspeed Venture Partners
"At age 13, Adam enrolled as a full-time student at UC Berkeley, where he studied pure and applied mathematics and conducted research in number theory and machine learning. He went on to work as a mathematician for the Department of Defense and as a researcher at Lawrence Berkeley National Laboratory, the University of Wisconsin-Madison, and Stanford InfoLab.","
              Adam              
              Goldberg            ",Lightspeed Venture Partners
"Adam graduated from Stanford with a BS in computer science, with a concentration in systems, and worked as an engineer at Palantir and Dropbox. He was also an early product manager at Rubrik, a Lightspeed portfolio company, where he launched a product line and moonlighted as a technical consultant for HBO’s Silicon Valley.","
              Adam              
              Goldberg            ",Lightspeed Venture Partners
"In 2016, Adam left Rubrik to become a partner at Lightspeed. “My entire life, I’ve optimized for learning,” he says. “Venture is the epitome of learning. You spend all your time with people who are experts in their field. What other job lets you do that?”","
              Adam              
              Goldberg            ",Lightspeed Venture Partners
"Since joining Lightspeed, he’s focused primarily on investments in enterprise infrastructure, big data/analytics, datacenter technologies, IIoT, frontier technologies, and artificial intelligence.","
              Adam              
              Goldberg            ",Lightspeed Venture Partners
"What does he look for in founders? The first quality is rationality quotient, or RQ—whether or not a person has the humility to recognize what he or she doesn’t know. The second quality is discernment. “If somebody says every meal they have is the best meal of their life, is their judgement really that great? You want the person who says they’ve had 20 meals this week and can list their top three with a clear mental framework,” he says.","
              Adam              
              Goldberg            ",Lightspeed Venture Partners
