text,name,firm
"Croom joined Menlo Ventures as an associate in 2017. Previously, Croom worked in strategy at Payoneer, where he launched and ran its Early Payments business, which provides working capital solutions to small businesses in emerging markets. Prior to joining Payoneer, Croom started his investing career at Susquehanna Growth Equity, where he focused on growth-stage financial technology companies and worked on investments in Credit Karma, Payoneer, PaySimple, and others.
Croom graduated from Princeton University with a BA degree in history. In his free time, Croom enjoys going on very long walks (thru-hiked the Pacific Crest Trail), running ultramarathons, and patiently waiting for the Philadelphia Eagles or Sixers to win a championship in his lifetime. As a recovering historian in the heart of Silicon Valley, he still likes reading dusty old tomes and learning obscure facts.
",Croom,Menlo Ventures
"Shawn is a partner at Menlo Ventures, and focuses on IT investments in the consumer sector—with particular interest in major technological shifts that improve daily lives. Examples include current investments in Roku and Uber, as well as Siri, which sold to Apple in 2013.
Shawn received his BS and MS in electrical engineering from the University of Illinois at Urbana-Champaign, where he graduated with highest honors, but was continually pulled into the field of computer science. His interests in programming led to the Chicago startup scene with Open Port Technology. As a manager of software architecture at Open Port, Shawn wrote wire protocols in C++ in the days before JSON and obtained his first patent. He left to attend Stanford GSB, with initial plans to become a business-savvy CTO. A summer stint at Booz Allen taught him to think big, but underscored his need to be on the cutting-edge of tech. He joined Menlo upon receiving his MBA in 2002.
Shawn’s learned countless left-brain lessons as a VC, software and electrical engineer, product manager, management consultant, and CEO, but none so impactful as the right-brain ones as a husband, father, and struggling founder as the former CEO of Handle, the world’s first (and only) priority engine. He believes in candor, empathy, and the Lean Startup principles born at IMVU, where he has served as a director since 2005. For fun, Shawn enjoys hiking with his family, running with his wife, Jennifer (founder of Reach Capital), snowboarding, and motorcycling.Current Investments
Roku
Uber
IMVU
JUMP
Prior Investments
CinemaNow, acquired by Rovi
PlaySpan, acquired by Visa (V)
Scan, acquired by SnapChat
Siri, acquired by Apple (APPL)
TeleNav (NYSE: TNAV)
YuMe (NYSE: YUME)
",Shawn,Menlo Ventures
"Venky is a partner at Menlo Ventures, and focuses on investments in both the consumer and enterprise sectors. He currently serves on the board of Avi Networks, BitSight, Breather, Dedrone, Machine Zone, OverOps, Rover, UpCounsel, and Waterline Data Science. Prior to joining Menlo, he was a managing director at Globespan Capital Partners, where he was part of the investment team since the firm’s inception. At Globespan, Venky led numerous successful investments including Palo Alto Networks (PANW), Amobee (Acquired by SingTel for $321 Million), Exeros (Acquired by IBM), Jajah (Acquired by Telefonica for $207 Million), Sendia (Acquired by Salesforce.com), Virident (Acquired by Western Digital for $685 Million), and Trigo (Acquired by IBM). He has led investments or served on the boards of the following private companies: oDesk, Redfin, Rev, and SMSGupshup. Venky was recognized on the 2013, ’14, and ’15 Forbes Midas List.
Prior to Globespan, Venky was one of the founders of Trigo Technologies and played a critical part in building Trigo into the market leader in the product information management space. IBM acquired the company resulting in a substantial return for all investors. Venky also previously worked at McKinsey & Co., in the firm’s Los Angeles and Johannesberg offices and at Microsoft where he started his career as a program manager.
Venky holds a bachelor of arts in mathematics–economics from Reed College, and a bachelor of science in engineering and applied science, with honors, from the California Institute of Technology. Venky believes strongly in giving back to the community, and is chairman of the National Venture Capital Association (NVCA). He has also been a past Trustee of Keys School and past President of the Indian Community Center in Milpitas.
Current Investments
Avi Networks
BitSight
Breather
Dedrone
Machine Zone
oDesk
OverOps
Redfin
Rev
Rover
Upcounsel
Waterline Data Science
Prior Investments
Palo Alto Networks (PANW)
Amobee, acquired by SingTel
Exeros, acquired by IBM
Sendia, acquired by Salesforce.com
Virident, acquired by Western Digital
Founder
Trigo Technologies, acquired by IBM
",Venky,Menlo Ventures
"Matt is a partner at Menlo Ventures, and focuses on multi-stage investments in cloud infrastructure and AI-first SaaS applications. Since joining Menlo in 2015, Matt has led investments in Clarifai, eShares, Harness, Heap Analytics, Scout RFP, Usermind, and Veriflow. He also serves as a board director at Drawbridge, Egnyte, SessionM, and Shazam; and as a board observer at Datastax, insidesales.com, InstartLogic, and Puppet.
Previously, Matt was a general partner at Kleiner Perkins Caufield & Byers for over 15 years. In addition to investing in the above-mentioned companies, he was also an observer at Google (from initial investment to IPO), launched the iFund in ’08 (a collaborative initiative with Apple to build the defining applications on the iOS platform), sourced the firm’s investment in Docusign, and led investments in AppDynamics (acquired by Cisco for $3.7B in 2017), Simplivity (acquired by HPE for $650M in 2017), PernixData (acquired by Nutanix in 2016), Shopkick (acquired by SK Planet 2014), Aerohive Networks (Nasdaq: HIVE, 2014), Ocarina Networks (acquired by Dell in 2010), and AutoNavi (Nasdaq: AMAP, 2010).
Before joining KPCB, Matt worked at semiconductor startup Netboost (acquired by Intel) where he led product management, and prior to that at Sun Microsystems, where he led business development for the Network Systems Group and was a product line manager for networking platforms. Matt also worked in strategic and technical consulting for a number of years at Booz Allen Hamilton and Accenture. Matt holds a bachelors of science degree in electrical engineering from Tufts University and an MBA from Stanford University’s Graduate School of Business. He serves as the vice chairman of the Stanford University Engineering Venture Fund, and on the advisory board for Tufts’ Electrical Engineering program.
Current Investments
Clarifai
Datastax
Drawbridge
Egnyte
eShares
Harness
Heap Analytics
InsideSales.com
InstartLogic
PuppetLabs
Scout RFP
SessionM
Shazam
Usermind
Veriflow
Prior Investments
AppDynamics, acquired by Cisco
Simplivity, acquired by HPE
PernixData, acquired by Nutanix
Shopkick, acquired by SK Planet
Ocarina Networks, acquired by Dell
Peakstream, acquired by Google
AutoNavi (Nasdaq: AMAP)
Aerohive Networks (Nasdaq: HIVE)
",Matt,Menlo Ventures
"Naomi joined Menlo Ventures as a partner in 2018, and brings deep operating experience across both product and growth. Her investment focus spans consumer and prosumer, or high-velocity B2B companies that scale using product-driven growth strategies. Naomi is especially fond of habit-forming products and subscription/SaaS business models that create more value for both customers and companies over time. As someone who has built new products from scratch, and helped existing products scale from 10M to over 100M users, she empathizes with entrepreneurs at every stage of the business and product lifecycle.
Naomi began her tech career in 2006, after brief stints working in industrial engineering and management consulting. She was most recently Vice President of Growth at Invoice2go, and prior to that, a product lead at Evernote, where she also founded the Growth team. Her expertise includes building high-performing teams, and driving retention and monetization. One example she’s particularly proud of is increasing customer upgrade rate by triple digits, while simultaneously increasing upgrade price by double digits, all without sacrificing customer sentiment. Naomi loves participating in the broader tech community as an advisor, and as a guest lecturer for programs such as Reforge and 500 Startups.
Naomi holds a bachelor of science degree in industrial engineering from Northwestern University, and an MBA from Stanford University’s Graduate School of Business. She lives in San Francisco with her husband and toddler, and takes any opportunity she can to travel somewhere new. 
",Naomi,Menlo Ventures
"Jayni joined Menlo Ventures as an associate in 2016, with a focus on investing in early-stage consumer companies. She helps cover startups in the mobile, new media, social, ecommerce, fintech, digital health, and gaming sectors.
Prior to Menlo, Jayni worked within the PayPal family of companies in the Bay Area. Most recently, she was a part of Venmo’s Product & Biz Ops team where she focused on product strategy and marketing initiatives. She helped design Venmo’s product architecture, launch Venmo’s iOS integrations with Apple and map out the go-to-market plans for Venmo’s first monetizable checkout product. Before that, Jayni was a member of PayPal’s Global Corporate Strategy team which drove the company’s overall strategic direction and vision. She worked with the company’s senior executives to shape key product and business unit strategies, enable operational efficiencies and accelerate growth. She collaborated closely with the consumer division to develop a roadmap for several new features for PayPal’s ‘Digital Wallet,’ which is used by 180 million users globally. She advocated for increased innovation by creating and launching an experimental solution for long-tail businesses that allowed them to build their own mobile apps. She also helped conduct diligence on minority investments and acquisitions, including the acquisition of Braintree and Venmo.
Jayni started her career within the investment banking division at Deutsche Bank in New York City, where she advised real estate, gaming and lodging companies on capital raises, recapitalizations as well as mergers and acquisitions. Jayni graduated from Wellesley College with bachelor degrees in political science and English. She is a news junkie, documentary film buff, and aspiring coffee connoisseur.
",Jayni,Menlo Ventures
"Mark is a partner at Menlo Venture, and focuses on investments primarily in enterprise/cloud infrastructure, security, and SaaS.  His secondary areas of interest include drones, autonomous vehicle technology, and AI.  Mark also has led consumer investments for Menlo in DropCam (acquired by Nest), Eero, and Tenor (largest mobile .gif platform), and believes firmly in the hardware renaissance—especially, as it relates to cloud services and intelligence.
Mark’s active investments and board seats include Dstillery, Eero, Getaround, Invidi, PernixData (acquired by Nutanix), Platform9, Pluribus Networks, Tenor, Tintri, and Warby Parker. Prior board seats include 3PAR (acquired by HP), Dropcam (acquired by Google’s Nest), eXelate (acquired by Nielsen), Pliant Technology (acquired by SanDisk), RNA Networks (acquired by Dell), BlueGill Technologies (acquired by Checkfree), Rubric (acquired by Broadbase), and Voltage Security (acquired by HP).
Mark holds a bachelor of science degree in physics – with an electrical engineering focus – from MIT, and an MBA from the Stanford University’s Graduate School of Business. At MIT, Mark did computer modeling of dark matter and galaxy formation which eventually landed him as a product manager for Oracle’s Massively Parallel Processing group. In this role, he was part of the original team that developed and deployed one of the first true massively parallel and multi-threaded commercial software offerings – the Oracle Parallel Server. Mark then started and managed a consulting group at Oracle dedicated to serving early customers of this product. In business school, Mark got the startup bug, and went on to work in business development for Netscape from the first year of its inception through its IPO in 1996.
Mark is still actively involved with both MIT and Stanford, serving on MIT’s Corporation Development Committee and Stanford’s Engineering School and Business School venture investment boards. Mark is also a board member of the Western Association of Venture Capitalists (WAVC), and has been a member of the Dean’s advisory committee to MIT’s School of Science.
Mark grew up in Chicago and now lives in Portola Valley with his wife and two children. In his spare time, he enjoys music, mountain biking, and skiing, and fantasizes about going to cooking school someday.
Current Investments
Dstillery
Eero
Getaround
Invidi Technologies
PernixData
Platform9
Pluribus Networks
Tenor
Tintri
Warby Parker
Prior Investments
3PAR, acquired by HP (HPQ)
BlueGill Technologies, acquired by Checkfree
Dropcam, acquired by Google’s Nest
eXelate, acquired by Nielsen
Pliant Technology, acquired by SanDisk (SNDK)
Rubric, acquired by Broadbase
RNA Networks, acquired by Dell
Schooner Information Technology, acquired by SanDisk (SNDK)
Voltage Security, acquired by HP
",Mark,Menlo Ventures
"Steve is a principal at Menlo Ventures, and focuses on investments in SaaS applications, marketplaces, and robotics. Steve facilitated the firm’s investments in Breather, Clarifai, Heap, Scout RFP, eShares, and MealPal, and helped lead diligence in Rover’s Series E round and UpCounsel. As a Y Combinator alum, he also helps cover the YC ecosystem for Menlo.
Before Menlo, Steve worked at Insight Venture Partners in New York, where he was part of the Insight Onsite team, focusing on investment diligence and providing hands-on resources and expertise to internet and software companies. Prior to that, Steve worked in the financial services group at Oliver Wyman, where he worked closely with large financial institutions to develop growth and regulatory initiatives. He also interned for a summer with Bridgewater Associates, the world’s largest hedge fund, and was the co-founder of a Y Combinator-funded social network. Steve graduated from Princeton University with a BSE degree in mechanical and aerospace engineering and a minor in Robotics and Intelligent Systems. In his free time, Steve enjoys skiing, following the New York Giants, and running (with a sub 3 hour marathon PR).
Current Investments
Breather
Clarifai
Heap
Rover
Scout RFP
Upcounsel
eShares
MealPal
",Steve,Menlo Ventures
"Tyler is a partner at Menlo Ventures, and focuses on investments in both B2B and B2C markets. Additionally, he is passionate in backing technology-enabled services and products with the end user in mind. He loves annuities, network effects, liquidity moats, systems of records, and high frequency transactional and replenishment businesses that explicitly or implicitly keep customers around – ideally forever. He jokes that his goal is to back a business that one day Warren Buffet would like to buy because of its enduring value. He knows he’s running out of time.
Tyler looks for these types of opportunities across a wide variety of markets and verticals. He finds a lot of “scratch” in complex, often regulated, and highly profitable industries – like financial services, but he also finds plenty to get excited about in next generation SAAS and security, vertically integrated ecommerce, marketplaces, and data networks / connectivity, for a variety of industries.
Tyler’s investments include BlueVine, Bread, eShares, FiveStars, Homelight, PillPack, RealtyShares, Stance, tCell.io.
Previously, Tyler was a principal and senior investment analyst at Menlo, and sourced prior investments in EdgeCast Networks (sold to Verizon), DataXu, Dstillery, and ReadyForce. He also enjoyed a stint at Accel Partners in London, where he sourced investments Aorato (sold to Microsoft), GoCardless, FlyWire, and Calastone as an associate.
Tyler holds a bachelor of arts in international relations from Stanford University. In his free time, he enjoys golfing, skiing, traveling, reading fiction or economic history, listening to “This American Life,” and playing chess (improving, but still consistently beaten by his older brother).Current Investments
BlueVine
Bread
eShares
FiveStars
Homelight
PillPack
RealtyShares
Stance
tCell.io
Prior Investments
DataXu
Dstillery
Edgecast, acquired by Verizon
ReadyForce, acquired by LookSharp
",Tyler,Menlo Ventures
"Pravin joined Menlo Ventures as a partner in 2001, and focuses on investments in the cloud, SaaS, and e-commerce sectors. His current investments and board seats include BlueVine, FiveStars, Glympse, Lumosity, Munchery, Nexenta, Pillpack, Poshmark, Signifyd, Stance, The Black Tux, and vArmour.
Prior involvements and board seats include Carbonite (IPO: CARB); Centrality Communications, acquired by SiRF Technology Holdings, Inc. (SIRF) for $283M; EdgeCast Networks, acquired by Verizon (VZ) for $400M; Credant Technologies, acquired by Dell; Like.com, acquired by Google (GOOG); and newScale, acquired by Cisco Systems, Inc. (CSCO).
Pravin holds BS and MS degrees in electrical engineering from MIT, and an MBA from the Harvard University Graduate School of Business. He started his career as an engineer working at the Jet Propulsion Laboratory. Later, he worked for Pacific Communication Sciences and ADC Telecommunications as a product manager. He was introduced to the world of venture capital in business school, while working for @Ventures, and discovered his real passion was meeting and working with great entrepreneurs.
Pravin lives in Menlo Park with his wife and two children. In his spare time (what little there is) he enjoys playing the guitar, sailing, and running.
Current Investments
BlueVine
FiveStars
Glympse
Lumosity
Munchery
Nexenta
PillPack
Poshmark
Signifyd
Stance
The Black Tux
vArmour
Prior Investments
Carbonite (NASDAQ: CARB)
Centrality Communications, acquired by SiRF Technology Holdings, Inc. (SIRF)
Credant Technologies, acquired by Dell
EdgeCast Networks, acquired by Verizon (VZ)
Like.com, acquired by Google (GOOG)
newScale, acquired by Cisco Systems, Inc. (CSCO)
",Pravin,Menlo Ventures
