text,name,firm
"Peter joined NEA in 1992 and was the firm’s Managing General Partner from 1999-2017. During his 18 years at the helm, NEA's assets under management grew from $1B to over $20B and the organization scaled its operations to become one of the world’s largest venture capital firms. Under Peter’s leadership, NEA invested in industry-transforming technology companies like CareerBuilder, Tableau, Diapers.com, Groupon, Jet.com, Juniper Networks, Macromedia, Salesforce.com, TiVo, and Workday. He has been named several times to the Forbes Midas List of top technology investors, to Crain’s Chicago 50 Top Tech Stars, to Washington Tech Council’s Hall of Fame, and to the Washington Business Hall of Fame. Peter has personally led investments in over two dozen technology companies that have successfully completed public offerings or mergers. He serves on the board of public company Groupon (GRPN) and is currently a director of several private companies including Catalytic, NextNav, Sprout Social, Tamr, Tempus, ThreatQuotient, Upskill, ViewLift (Snagfilms) and ZeroFox. ",Peter Barris,NEA
"Prior to joining NEA, Peter was President and Chief Operating Officer of Legent Corporation (LGNT) and Senior Vice President of the Systems Software Division of UCCEL Corporation (UCE). Both companies were ultimately acquired at valuations that were record breaking for their time. Earlier, Peter spent almost a decade at General Electric Company in a variety of management positions, including Vice President and General Manager at GE Information Services. He is Vice-Chair of the Northwestern University Board of Trustees and serves on the Board of the Tuck School Private Equity and Entrepreneur Center. Peter previously served on the Executive Committee of the Board of the National Venture Capital Association and was also a founding member of Venture Philanthropy Partners, a philanthropic organization in the Washington D.C. area. Peter received his BSEE from Northwestern University and his MBA from the Tuck School of Business at Dartmouth.",Peter Barris,NEA
First child born,Peter Barris,NEA
Second child born,Peter Barris,NEA
UUNET Investment,Peter Barris,NEA
Promoted to Managing General Partner,Peter Barris,NEA
Groupon Investment,Peter Barris,NEA
Became an empty-nester,Peter Barris,NEA
"Forest joined NEA in 1999 as a Venture Partner and became a General Partner in 2004. Forest focuses on information technology investments and serves on the Board of Directors for several private and public companies.  Some of his investments that became public companies are Atheros Communications, Audience, Data Domain, Fusion-io and Tableau Software. Prior to NEA, Forest was Senior Vice President of R&D and Chief Technology Officer of Silicon Graphics Inc. He founded and directed the Western Research Laboratory of Digital Equipment Corporation before joining SGI. Prior to that, he was a Professor of Computer Science and Electrical Engineering at Stanford University. Dr. Baskett received a BA in Mathematics from Rice University, a Ph.D. in Computer Science from the University of Texas at Austin and is a member of the National Academy of Engineering.","Forest Baskett, PhD",NEA
"Tony is a General Partner and head of NEA's technology investing practice, which is typically two thirds of NEA's funds. Tony focuses on investments in the software and internet sectors with emphasis on SaaS and marketplace ecommerce companies. In addition, he is actively involved in NEA’s investing activities in China. Tony has led investments in Care.com (NYSE: CRCM), Cvent (NYSE: CVT), Appiran (NYSE: APPN), Moda Operandi, Quidsi/Diapers.com (acquired by Amazon), Edmodo, EverFi (acquired by TPG), Casper, Snap (NYSE: SNAP), Raise.com, Jet.com (acquired by WalMart), Gilt (acquired by Hudson Bay), Goop, DataRobot, Duolingo, The Wing, Letgo, and Wallapop. Prior to joining NEA, he was a Managing Director at Morgan Stanley and was Head of Technology Banking in New York, and was a member of the North American Management Committee for investment banking.  Tony spent over a decade at Morgan Stanley focused on the software and Internet sectors, and also worked with a number of NEA's companies in both IPOs and M&A transactions. Tony received an MBA and an A.B. in Economics from Dartmouth College.",Tony Florence,NEA
