text,name,firm
"Alex is a career technology entrepreneur, executive and angel investor.   Starting in 1996 Alex co-founded eShare technologies, a web based customer support platform which was acquired by a public company in 1999.   Alex then co-founded eAssist Global Solutions, a web based CRM for support that was acquired in 2004.  Alex went on to co-found Goowy Media, a web distribution and analytics platform, backed by Mark Cuban and acquired by AOL in 2008.  After 2 years at AOL, running key social media assets, Alex co-founded Assistly, a modern SaaS support platform used by some of the web’s leading brands.  Assistly was acquired by Salesforce in 2011 and rebranded as Desk.com.",Alex Bard,Redpoint
"While at Salesforce, Alex was promoted to EVP and GM, and ran the ServiceCloud business which he grew to over $1B in revenue.  In 2014, Alex was recruited to run Campaign Monitor, a global email marketing and automation company founded in Australia.  Over 3 years Alex more than tripled the team to over 250 employees, opened offices in SF and London, acquired 2 companies, doubling bookings and meaningfully accelerated overall growth.",Alex Bard,Redpoint
Alex joined Redpoint in 2017 and is on the board of AppZen.,Alex Bard,Redpoint
"Alex has also been an investor and advisor in companies that include Gusto, Narvar, Classy, Hello Inc, Moon Express, Kustomer, Xero and Docusign.  Alex lives with his wife and 2 daughters in San Francisco.",Alex Bard,Redpoint
,Alex Bard,Redpoint
"Allen Beasley joined Redpoint at its inception and currently leads the firm’s activity in growth-stage companies. His most recent investments include Duo Security, Sonos, Zendesk (ZEN), Just-Eat (JE.L), and Arctic Wolf Networks. Allen also led successful investments in Alltel (acquired by Verizon), Answers (acquired by Announce Media), Intermix (acquired by News Corp.), Internet Brands (acquired by Hellman & Friedman), Kabam (acquired by Netmarble), NextG (acquired by Crown Castle) and OuterBay (acquired by Hewlett-Packard).",Allen Beasley,Redpoint
Allen holds a B.A. in Economics from Stanford University and an M.B.A. from the Stanford Graduate School of Business.,Allen Beasley,Redpoint
,Allen Beasley,Redpoint
"Annie Kadavy is a seasoned investor and operator who joined Redpoint in 2018 to focus on early stage consumer investing. Prior to Redpoint, Annie spent over four years at Charles River Ventures where she sourced or led deals with ClassPass, Cratejoy, DoorDash, Laurel & Wolf and Patreon at the seed and series A stages. Annie has been named on both the Forbes 30 Under list 30 and Midas Brink lists.",Annie Kadavy,Redpoint
"Previously, Annie worked at Bain & Company, Warby Parker and, most recently, as Head of Strategic Operations at Uber Freight where she helped scale the business from 50 to several hundred people and from zero to $100M+ run-rate in its first year. Annie holds a B.A. and M.A. from Stanford University in Biology and Organizational Business, respectively, and an M.B.A. from Stanford Graduate School of Business.",Annie Kadavy,Redpoint
