text,name,firm
"I think it’s very hard to be in venture capital if you haven’t walked in the shoes of a founder or entrepreneur, or been involved in building a company.",Roelof Botha,Sequoia Capital
"When it would have been easy to see YouTube as risky or frivolous, we saw it as having the potential to change the way the planet consumes media. We partnered with YouTube from the very beginning, incubating the three founders in our office. In the early days of YouTube, what mattered most was a clear-eyed vision of how the world would change once it felt the impact of user-generated content at a global scale. ",Roelof Botha,Sequoia Capital
"It is rare to find someone who can clearly and concisely identify a problem, and formulate a coherent approach to solve it.",Roelof Botha,Sequoia Capital
My greatest frustration is that I buy books faster than I can read them.,Roelof Botha,Sequoia Capital
"Your best teacher, your best mentor, was probably not the one you necessarily liked the best at the time. But they were the ones who pushed you the furthest to help you accomplish your best.",Roelof Botha,Sequoia Capital
"Schopenhauer said that talent hits a target no one else can hit, but genius hits a target no one else can see. That is precisely what sets founders apart.",Roelof Botha,Sequoia Capital
"The temptation for someone with an operating background is to step in and to try to solve the problems on their own, and tell the entrepreneur what to do. I think it’s not about supplying an answer. It’s having a conversation, because I don’t have the context of being inside the company 80 hours a week.",Roelof Botha,Sequoia Capital
"I didn’t know what I was going to do. I never had a plan to be in venture capital, or to be the CFO of a tech startup. I just knew there was a lot of opportunity in Silicon Valley and I had an intuition that I needed to be here.",Roelof Botha,Sequoia Capital
"If you take the safe path, you’re probably not going to end up doing something special.",Roelof Botha,Sequoia Capital
"It’s odd to me when entrepreneurs fear, “Oh my goodness, there’s a board, there’s authority, you guys now control my company.” We never control the company. We’re there to help.",Roelof Botha,Sequoia Capital
Obviously some board meetings are testier than others because that’s part of the point: to push people to do even better.,Roelof Botha,Sequoia Capital
The motto inside Sequoia is that we’re only as good as our next investment.,Roelof Botha,Sequoia Capital
Empathy. The ability to put yourself in someone else’s shoes is an under-appreciated skill.,Roelof Botha,Sequoia Capital
"I studied actuarial science, and our professor had this great quote that always stuck with me: “Accountants are trained to think one year in arrears. Actuaries are trained to think 25 years into the future.”",Roelof Botha,Sequoia Capital
"Imagination is ingrained in the training. Your brain is wired to think: What does the world look like in 2030, 2040? And it’s how I approach thinking about startups.",Roelof Botha,Sequoia Capital
"I wouldn’t send my brother to most VC firms, but some are great.",Roelof Botha,Sequoia Capital
"By the last semester at Stanford I’d run out of money. I came to the US in ‘98 right after the emerging markets currency crisis, so the money I’d saved up in South Africa to come to business school lost 40% of its value overnight. That’s when I joined PayPal.",Roelof Botha,Sequoia Capital
"Of course I was attracted to the company as well, but there was a very real need to pay rent the next month.",Roelof Botha,Sequoia Capital
"When I interviewed here, Sequoia had a spec: they were looking for someone with a computer science background who was working in product management at an enterprise software company.",Roelof Botha,Sequoia Capital
"All the nuances, all the third-order issues you see from inside the company, are very different from what a board member sees — even well-intentioned — when they’re only there once a month or even once a week.",Roelof Botha,Sequoia Capital
"There’s a very strong sense of humility inside our walls. Every day there are spectacular businesses being built, and there are more that we’re not involved with than that we are.",Roelof Botha,Sequoia Capital
"I’ve always been drawn to creative problems and people. But over the years, I found I truly enjoy day-to-day leadership and mentoring most of all.",Bill Coughran,Sequoia Capital
I’d describe myself as a technologist with general management experience.,Bill Coughran,Sequoia Capital
"We met Viptela early, when conventional wisdom may have dismissed the company as no more than a better WAN optimization. The founders, however, weren’t thinking about networks in the same way as everyone else. They saw a chance virtualize WAN networking, analogous to what VMware did to the server market and what Amazon was doing to data centers. Our first meeting with them stretched from 30 minutes to two hours, as each sentence in the conversation unlocked another compelling possibility.",Bill Coughran,Sequoia Capital
"Talented, passionate people don’t want to follow you to create a better future. They want to co-create it with you.",Bill Coughran,Sequoia Capital
"What I bring, maybe, is intellectual breadth, coupled with a lot of operational experience. I've certainly seen a broad collection of technologies, ranging from semiconductors up through large distributed systems and web and mobile services.",Bill Coughran,Sequoia Capital
"I went through a small college in Pasadena as an undergraduate, and basically, almost everybody who showed up there thought they were the smartest person in the room. It was an interesting experience to learn that you're not the smartest person in the room.",Bill Coughran,Sequoia Capital
"That taught me the importance of continuing to learn, and not being overly confident in your own abilities.",Bill Coughran,Sequoia Capital
"Management starts with listening. If you’re talking all of the time, you’re not listening.",Bill Coughran,Sequoia Capital
"Integrity and transparency are probably the most important things to me in business. I've spent too much time in organizations where people didn't want to be upfront, and it made things very difficult.",Bill Coughran,Sequoia Capital
You try to remain professional and polite about it. Transparent doesn't have to mean abusive.,Bill Coughran,Sequoia Capital
"Some of the work I was involved with at Bell Labs — very core computer systems work — shaped my thinking about how to build large-scale systems and designs for many years, and it’s something that served me well at Google. Because there I had the opportunity to work with some of the largest systems that I think have been built today.",Bill Coughran,Sequoia Capital
"I stayed for 20 years at Bell Labs, and I probably should've left sooner. Even the best places get stale after a while. And you get stale in them. I think it’s healthy to make a change every few years.",Bill Coughran,Sequoia Capital
"People say you can never hire enough engineers. But that’s wrong. Beyond a certain threshold, additional developers slow you down. It’s a byproduct of human nature and organizational dynamics.",Bill Coughran,Sequoia Capital
The best development teams are almost always two to eight great engineers who work in a single room and have no overhead.,Bill Coughran,Sequoia Capital
"Resist regular meetings. They take time away from design and coding, and they kill productivity. Question every one.",Bill Coughran,Sequoia Capital
"Security’s a big interest of mine. The kind of open, consumer-oriented world that we've entered — with lots of devices and apps and so forth — is just an increasingly difficult world in which to secure things.",Bill Coughran,Sequoia Capital
"After my time at Bell Labs, I co-founded Entrisphere in late 2000. That company was acquired by Ericsson, and I joined Google in 2003.",Bill Coughran,Sequoia Capital
The toughest challenge at Google was managing such a broad set of special people. And such a broad set of research and development groups.,Bill Coughran,Sequoia Capital
A small team with good people can steer itself. (Most of the time.),Bill Coughran,Sequoia Capital
"My sense is that it is time to do interesting hardware again. It's a little countercultural to the venture capital community, because I think they've gotten out of the hardware-building mindset. But these things come in cycles.",Bill Coughran,Sequoia Capital
Smartest person I've ever worked with? I think the smartest person I got to know a little bit is Don Knuth. He was a professor at Stanford when I was a graduate student there.,Bill Coughran,Sequoia Capital
"Theater, opera, symphony, that kind of thing. My wife and I both like performance. Those are things that I enjoy.",Bill Coughran,Sequoia Capital
Engineering is easy. People are hard.,Bill Coughran,Sequoia Capital
"All of us look up to these legendary founders, but every one of them started out as an unknown underdog. This was true for the founders of WhatsApp, Carbon, Nimble Storage, AdMob, and Palo Alto Networks and it's true for the seed-stage founder who walks in our door tomorrow.",Jim Goetz,Sequoia Capital
I loved the years I had as an entrepreneur.,Jim Goetz,Sequoia Capital
"What’s really interesting to us is new categories where there is no market. There's no TAM, there's no SAM, and it's all about those early beachhead customers.",Jim Goetz,Sequoia Capital
The common thread through Sequoia’s most legendary founders: Misfits. Unknowns. All focused on personal pain. All willing to put something out early and iterate.,Jim Goetz,Sequoia Capital
"Reinventing the IT stack is the here-and-now opportunity. So whether it's storage, or compute, or software architectures, the post-PC delivery methodology — they're all going to shift.",Jim Goetz,Sequoia Capital
"Enterprise startups — they have one competitor typically, maybe two, and those are the incumbents. They’re large, slow, flat-footed. So it's almost blue-ocean.",Jim Goetz,Sequoia Capital
"Compare that to consumer: The categories that are interesting often have a couple dozen companies, and they’re well-funded. It borders on the Malthusian.",Jim Goetz,Sequoia Capital
"I was raised in the Midwest, studied as an engineer, and gave up on a PhD to start my career as a rookie product manager.",Jim Goetz,Sequoia Capital
"How are you going to build long-term competitive barriers? We’re not comforted by patents, I can tell you that. Patents are fine, but it's more of a defensive tactic.",Jim Goetz,Sequoia Capital
"If you’re an engineer, and I was guilty of this, you love talking about technology. But as an investor it’s more about understanding how that technology or business process creates an unfair advantage.",Jim Goetz,Sequoia Capital
It's very easy to convince yourself that an idea is unique and compelling if you're not intellectually honest.,Jim Goetz,Sequoia Capital
"Probably one in 15 entrepreneurs who walks through our doors can really convey their initial marketing position in under five minutes. If you can get to that stage, boy, are we interested.",Jim Goetz,Sequoia Capital
"We get tingly when we meet with a bunch of engineers who just knocked out some fabulous code. They may not talk a lot in the meeting, but that lends a great deal of credibility.",Jim Goetz,Sequoia Capital
You see these stacked founding teams and — where are the times-ten programmers? Where’s that wonderful architect? Where’s that individual with the fabulous sense of simplicity and market expertise?,Jim Goetz,Sequoia Capital
Pedigree is not important at Sequoia. It’s not part of our criteria.,Jim Goetz,Sequoia Capital
"It’s that team dynamic. The cadence of the weekly, the monthly, the quarterly successes. Competing in the marketplace. Taking the hill together.",Jim Goetz,Sequoia Capital
"Before I joined Sequoia I was a founder, so I know what it’s like to have to learn as you go. My first four companies did not go as well as I hoped. Sequoia invested in my fifth startup, AdMob, while I was still in business school. What I learned from AdMob’s success (and more importantly from the previous four companies), is that the value lies more in the execution than the idea. You can have an idea, but executing it well is what matters. I also learned that product market fit is a visceral feeling—and when it happens, you’ll feel it.",Omar Hamoui,Sequoia Capital
Entrepreneurship is like Battleship. Your failures map out your successful targets later.,Omar Hamoui,Sequoia Capital
"I’d say I’m an entrepreneur with a focus on product and technology. Significant experience in mobile, but with a general interest in consumer internet, as well.",Omar Hamoui,Sequoia Capital
"The phone, in many ways, is the first “thing” in the internet of things. People are asking, “Why can’t you take all the other items in my life and give them these powers that I now expect and understand?”",Omar Hamoui,Sequoia Capital
"We’re dealing with a user base that’s effectively up-leveled. And companies that do what people now know is possible are being rewarded, quickly.",Omar Hamoui,Sequoia Capital
My first job was walking into small businesses and seeing if they needed help with their computers.,Omar Hamoui,Sequoia Capital
"At AdMob we spent a lot of time talking about what was wrong. When people would visit our board meetings I’d have to prepare them ahead of time, basically saying, “Don’t worry. The company’s not falling apart. This is just how we are.”",Omar Hamoui,Sequoia Capital
You can just be a lot more productive if you spend time on the things that aren’t going well.,Omar Hamoui,Sequoia Capital
Avoid arrogance at all costs.,Omar Hamoui,Sequoia Capital
"If you go to business school — or probably any professional school — with these highly motivated people, they’re stressed out of their minds. As if they’re going to be homeless if they don’t get an internship in the summer.",Omar Hamoui,Sequoia Capital
"People just greatly miscalculate risk, in my opinion. They’re too afraid of things.",Omar Hamoui,Sequoia Capital
So many times I was sure something was going to work and it hit the market and fell flat.,Omar Hamoui,Sequoia Capital
"If you can find someone who isn’t afraid to tell you you’re an idiot, and who really brightens your day when they give you some positive feedback, keep that person nearby.",Omar Hamoui,Sequoia Capital
"I speak English, Arabic and Spanish. Un poquito.",Omar Hamoui,Sequoia Capital
"Young entrepreneurs hear all this celebration of people who are difficult to work with and think, “Jeez, maybe I'm not doing this right. I need to be more aggressive, I need to be more rude.”",Omar Hamoui,Sequoia Capital
"At the end of the day, business is a transaction between people. And just being a decent human being goes a long way.",Omar Hamoui,Sequoia Capital
"If you have to constantly look at what your competition is doing in order to guide your next step, you’re not an entrepreneur. You’re an opportunist.",Omar Hamoui,Sequoia Capital
"My son was born nine weeks early and weighed three pounds at birth. Holding something so important, but so fragile, was the scariest thing I’ve ever experienced. Thankfully he did great after that and it all turned out wonderfully.",Omar Hamoui,Sequoia Capital
When things are going well you can always raise more money or hire more people. Your most limited resource is time.,Omar Hamoui,Sequoia Capital
"I moved to Silicon Valley after graduate school, with pretty much just two suitcases and the ambition to start a company.",Aaref Hilaly,Sequoia Capital
The first lesson I learned is never to lose peripheral vision for unexpected opportunity. Nothing worked out as I planned.,Aaref Hilaly,Sequoia Capital
Both my companies were funded by Sequoia within a year of being founded. It really helped to partner early. Talking to Mike Moritz and Jim Goetz each week helped me grow from being a terrified founder into a confident CEO. I joined Sequoia with the goal of helping other founders in the same way.,Aaref Hilaly,Sequoia Capital
"I’m originally from Pakistan and grew up in England. Neither of my parents went to college, and I was very lucky to get scholarships and grants to attend great schools. Being among such talented people was eye-opening, and it raised my own level of aspiration. It also convinced me not to follow a conventional path – I never shook the feeling of being an outsider.",Aaref Hilaly,Sequoia Capital
"Once, at CenterRun, we’d just missed our sales target by a mile. I had to break the news to my investors and probably lay off 25% of our staff. The first person I went to see was Mike Moritz.",Aaref Hilaly,Sequoia Capital
"Mike was silent for a moment, and then asked if I’d seen the movie Apocalypse Now. He explained the scene where Robert Duval takes his men surfing on the Nung River under napalm strikes and enemy fire. Mike said, “You need to go surfing. The company needs to see you surfing right now.” It took me a minute to understand the wisdom of what he was saying. My team needed to see that I still believed.",Aaref Hilaly,Sequoia Capital
"At Clearwell, we hit product-market fit, grew from almost zero to a $100m revenue run-rate in four years, became profitable — but the fear and paranoia never went away. It still felt like the company was balanced on a knife’s edge.",Aaref Hilaly,Sequoia Capital
"My team used to look forward to board meetings. Jim Goetz pushed our thinking. He looked at things in a different way and showed us that board meetings are for the company to learn, not for the founders to report. I try to do the same as a board member today.",Aaref Hilaly,Sequoia Capital
"One thing people often forget is that we love the early stages of company building. It’s how I worked with Sequoia as an entrepreneur, and what I look for as an investor. Most companies we work with are at the seed or Series A stage. ",Aaref Hilaly,Sequoia Capital
"We like to dream with the entrepreneur, to imagine the world as they see it, and then ask ourselves how we can help.",Aaref Hilaly,Sequoia Capital
"Tell a story. We only partner with about a dozen new companies each year and we’re drawn to those with a clear, compelling narrative.",Aaref Hilaly,Sequoia Capital
"I love the early days: small teams with unique and clear insight about the future. Often there are raw edges, and much is not yet figured out. Partnering closely with these early teams to help realize their long term ambitions is the great pleasure of our business.",Matt Huang,Sequoia Capital
"One of my good friends from MIT dropped out to join Dropbox when the team was just a handful of people. At the time, I had little awareness of Dropbox, Y Combinator or startups in general, much less any appreciation for why one would drop out of school. That was kind of a wakeup call. ",Matt Huang,Sequoia Capital
"I chose to go to MIT to study math, but I also spent as much time as possible in the computer science and economics departments. In retrospect, I would have shifted the weighting more toward computer science, but training in math has turned out to be a surprisingly helpful tool for better thinking.",Matt Huang,Sequoia Capital
Junior year I started hacking on projects with a couple of classmates. Eventually our efforts evolved into a company called Hotspots - funded by Y Combinator and other angels - where our focus was on building analytics tools for streaming data.,Matt Huang,Sequoia Capital
"Hotspots was acquired by Twitter in 2012, and we spent the next couple of years building analytics for Twitter ads. It was a fascinating experience to see the company scale from about a hundred million to billions in revenue and an IPO. ",Matt Huang,Sequoia Capital
"In general, I’m highly skeptical of what’s popular. It’s an automatic response that is not always productive, but overall I’ve found it to be helpful as the seed for independent thought. ",Matt Huang,Sequoia Capital
