text,name,firm
 ,Alex Finkelstein ,Spark Capital
Alex is a General Partner at Spark Capital and joined the firm at its inception.,Alex Finkelstein ,Spark Capital
"He has led Spark Capital’s investments in Andela, Badi, Careship, Everything But The House, Flywire, GetYourGuide, homeis, IEX, Linkwell, Mark43, SoundHouse, Talkspace, Tourlane, and TravelPerk. He also led Spark’s previous investments in 5min Media (acquired by AOL) and Wayfair (IPO).",Alex Finkelstein ,Spark Capital
"Alex likes to invest in unlikely, non-obvious startups led by entrepreneurs who are driven to connect, rather than copy. He likes to partner with founders building consumer marketplaces and other businesses that take advantage of network effects.",Alex Finkelstein ,Spark Capital
"Prior to joining Spark Capital, Alex was the creator and producer of a number of television shows that he sold to major networks including FOX, E!, Discovery, ITV1 (U.K.) and Yahoo.",Alex Finkelstein ,Spark Capital
"Previously, Alex was a member of the investment team at two Softbank venture capital firms.  Alex also worked at Cambridge Associates.",Alex Finkelstein ,Spark Capital
"Alex is on the board of directors of the Brooke Charter Schools. Brooke is the largest public charter school network in Boston and works on a blind admissions basis. Brooke’s students, who come from 78% low-income and 98% minority families, annually achieve the highest MCAS scores for any public school in Massachusetts.",Alex Finkelstein ,Spark Capital
Alex holds a B.A. in Political Science from Middlebury College.,Alex Finkelstein ,Spark Capital
 ,Alex Finkelstein ,Spark Capital
 ,Andrew Parker ,Spark Capital
"Andrew is a General Partner at Spark Capital, focusing on early-stage investments. ",Andrew Parker ,Spark Capital
"Andrew has led Spark’s investments in Carta, Kik, Panorama Education, Socratic, Splash, Timehop and Quantopian. ",Andrew Parker ,Spark Capital
"Andrew surveys the startup landscape through the lens of a recovering product designer and engineer. He is consistently drawn to entrepreneurs who are makers—the ones who, in the early days, are actually hands on building the product experience themselves.",Andrew Parker ,Spark Capital
"Prior to joining Spark in 2010, Andrew was a member of the investment team at Union Square Ventures. Before becoming an investor, Andrew did UI design and user-experience testing at Homestead Technologies and was a web developer at Groupspace.org. ",Andrew Parker ,Spark Capital
Andrew holds a B.S. in Symbolic Systems from Stanford University. He’s a runner and does yoga regularly. He’s also a bookworm who keeps a list of the books he’s given a 5-star-rating to here. Andrew lives with his wife (a badass cancer surgeon) and their cat. ,Andrew Parker ,Spark Capital
 ,Bijan Sabet ,Spark Capital
"Bijan is a co-founder and General Partner at Spark Capital, focusing on early-stage investing.",Bijan Sabet ,Spark Capital
Bijan led Spark’s early investment in Twitter (NYSE: TWTR) in 2008 and served on their board from 2008-2011. He also led the seed investment in Tumblr  (acquired by Yahoo!) and served on their board of directors for the entire duration of the company (2007-2013).,Bijan Sabet ,Spark Capital
"His other investments include Trello (acquired by Atlassian), Crowdrise (acquired by GoFundMe), Jelly (acquired by Pinterest), OMGPOP (acquired by Zynga), RunKeeper (acquired by Asics), thePlatform (acquired by Comcast), Foursquare, Hello Alfred and Stack Overflow.",Bijan Sabet ,Spark Capital
"He primarily invests in digital canvases and online communities, often gravitating toward startups after becoming a passionate user of the product.",Bijan Sabet ,Spark Capital
"Before becoming an investor, Bijan led product management and business development teams at a number of startups including Moxi Digital (acquired by Digeo) and WebTV Networks (acquired by Microsoft Corporation).",Bijan Sabet ,Spark Capital
"Bijan holds a B.S. degree from Boston College. He lives in Boston with his wife and three kids, and is an avid amateur photographer.",Bijan Sabet ,Spark Capital
 ,John Melas-Kyriazi ,Spark Capital
John is an early-stage investor at Spark Capital. He has led Spark’s investments in Clora and Wild Type.,John Melas-Kyriazi ,Spark Capital
"John enjoys working with entrepreneurs who rely on first principles and the latest advancements in science and technology to tackle complex societal problems, like food security and access to professional opportunity.",John Melas-Kyriazi ,Spark Capital
"Prior to joining Spark Capital in 2014, John was one of the first employees at StartX, a startup accelerator and entrepreneurial network. At StartX, John served as head of business development and co-founded the Stanford-StartX Fund, an investment vehicle funded by Stanford University and Stanford Healthcare. Previously, John was a Ph.D. student at Stanford, where he was studying the device physics of solar energy materials.",John Melas-Kyriazi ,Spark Capital
John holds a B.S. in Engineering Physics and M.S. in Materials Science & Engineering from Stanford. He is an avid skier and a voracious reader and eater.,John Melas-Kyriazi ,Spark Capital
 ,Kevin Thau ,Spark Capital
"Kevin is a General Partner at Spark Capital, focusing on early-stage investments.",Kevin Thau ,Spark Capital
"He has led Spark investments in Aura, CTRL-Labs, Haven, LOLA, Lumi , Medium and Mirror.",Kevin Thau ,Spark Capital
Kevin is drawn to creative and product-oriented founders with an inherent instinct for building a great consumer brand.,Kevin Thau ,Spark Capital
"Before joining Spark in 2015, Kevin spent over 20 years working for startups that defined new markets in graphical computing, messaging, mobile technology and social media. He began his career at Silicon Graphics working on developer marketing. Later, he was employee number 7 at Software.com (which became Openwave) where he helped ship the first mobile browser, mobile messaging services and mobile websites. In 2008, he joined Twitter—when there were fewer than 20 employees and fewer than a million users—as director of mobile products. He then became vice president of business and corporate development, where he led teams responsible for strategic partnerships, the developer ecosystem, media and entertainment relations and M&A.",Kevin Thau ,Spark Capital
" Kevin graduated from the University of California, Santa Barbara. He’s a Silicon Valley native and lives in Marin with his wife and three kids.",Kevin Thau ,Spark Capital
 ,Nabeel Hyatt ,Spark Capital
"Nabeel is a General Partner at Spark Capital, focusing on early-stage investments.",Nabeel Hyatt ,Spark Capital
"Nabeel has led Spark’s investments in Capella Space, Discord, Fig, Harmonix, Postmates, Proletariat, Rylo, Smash.gg, Zum, Sonder and Thalmic Labs. He also led Spark’s previous investment in Cruise (acquired by General Motors).",Nabeel Hyatt ,Spark Capital
"Nabeel seeks out entrepreneurs who develop that rare combination of design and technology to transform markets. He looks for products in which the underlying technology can be complex, but are presented as a simple, magical experience to the people who use them. Cruise, for example, is tackling deep technical challenges in computer vision and perception to bring an elegant solution to self-driving cars. Postmates has a seemingly humble first offering—it brings you dinner in under an hour via a simple push-button mobile app—but by finally solving the complicated operations of last mile delivery, it upends all of urban logistics.",Nabeel Hyatt ,Spark Capital
