text,name,firm
"Brian Ascher joined Venrock in 1998 as a Kauffman Fellow and is currently a Partner based in Venrock’s Palo Alto office. Brian invests broadly across enterprise and consumer markets and currently serves on the Board of Directors of several companies, including 6Sense, Socrates AI, Evident.io, Beckon, SmartBiz Loans, Inrix, Personal Capital and Dynamic Signal.  Past investments include Vocera (NYSE:VCRA),  ADiFY (acquired by Cox Enterprises), DATAllegro (acquired by Microsoft), Atrenta (acquired by Synopsys), Redbeacon (acquired by Home Depot), Tudou (acquired by Youku), RelayHealth (acquired by McKesson) and Unicru (acquired by Kronos). Prior to Venrock, Brian was a Senior Product Manager at Intuit responsible for Quicken and Quicken.com, and earlier in his career was a Strategy Consultant at the Monitor Group.  Brian has been named to the Forbes Midas List multiple times, for the VCs who have backed the most profitable winners in the last four years.  Brian received his B.A. from Princeton University and his M.B.A. from Stanford University Graduate School of Business.",Brian Ascher,Venrock
 ,Brian Ascher,Venrock
"Fred joined Venrock in 2006 and has been focused on the medical device and drug development sectors, with a special interest in Latin America. At Venrock, Fred has led multiple investments in med tech and biotech, and served on the Board of Directors of Receptos (NASDAQ: RCPT) and as an observer in a number of other portfolio companies including Zeltiq (NASDAQ:ZLTQ) and PowerVision. Fred is also founder and CEO of ADVANCE Medical, a Venrock portfolio company that is focused on the commercialization of medical technology in Brazil and other countries in Latin America. The company has raised over US$25 million since inception and has acquired a long-standing Brazilian distribution company.",Fred Aslan,Venrock
"Earlier in his career, Fred was director of business development and head of investor relations for CuraGen Corporation (NASDAQ: CRGN), an oncology-focused drug development company (acquired by NASDAQ: CLDX). In this role, he was responsible for strategic planning, the in-licensing of a clinical stage oncology product, securing sell-side analyst coverage and helping raise over $100 million. Prior to CuraGen, he worked at Boston Consulting Group where he advised biotechnology and pharmaceutical companies on a number of strategic initiatives.",Fred Aslan,Venrock
"Fred received his B.S. in Biology from Duke University, M.D. from Yale University School of Medicine and M.B.A. from the Harvard Business School. He was born and raised in Brazil but has lived in the US for over 20 years.",Fred Aslan,Venrock
"Egen Atkinson focuses on biotechnology and pharmaceutical investments in Venrock’s New York office. Prior to joining Venrock, Egen worked at ForSight Vision4 (acquired by Roche), where he helped launch and manage a phase I clinical trial for Age-Related Macular Degeneration.  He also consulted on gene therapy pipeline development for Spark Therapeutics (Nasdaq: ONCE) prior to IPO.  Egen has designed and/or conducted several nationally-presented clinical research studies at the Scheie Eye Institute, Hospital for Special Surgery, and Retina Institute of Hawaii.",Egen Atkinson,Venrock
"Egen earned his MD from the University of Pennsylvania School of Medicine, where he graduated Alpha Omega Alpha and received the Spencer Morris Prize, awarded to the top graduating student in the class. He earned his MBA in Healthcare Management from the Wharton School, where he received a Kaiser Fellowship.  Egen received his AB in Economics from Harvard University, where he played 4 years of NCAA Division I water polo, served as co-captain, and received the Collegiate Water Polo Association Scholar-Athlete of the Year award.",Egen Atkinson,Venrock
"Nick Beim focuses primarily on data intelligence, software, consumer and fintech investments, with a particular affinity for new machine learning applications. He blogs on the economics of innovation at www.nickbeim.com.",Nick Beim,Venrock
"Nick led the initial venture investments in a number of today’s leading machine learning innovators including Dataminr, a pioneer in the field of real-time information discovery that applies machine learning to social media and other large public data sets; Percipient.ai, a computer vision analytics platform for national and corporate security; and Intent Media, which enables ecommerce companies to monetize their customer intent data assets with dynamic segmentation.",Nick Beim,Venrock
"Nick’s software investments include Quiq, a messaging-based customer service software platform; JBoss, which developed the most widely used open source application server (acquired by Red Hat); Conductor, the leading SaaS platform enabling enterprises to manage, monitor and optimize SEO (acquired by WeWork); and OatSystems, the RFID application platform company founded by the team at MIT that developed the standards for passive tag RFID (acquired by Check Point Systems).",Nick Beim,Venrock
"Nick’s consumer investments include Care.com, the largest global online marketplace for care services (IPO); and the Gilt Groupe, the largest private sale e-commerce company in the United States (acquired by Hudson’s Bay).",Nick Beim,Venrock
"Prior to joining Venrock, Nick was a General Partner at Matrix Partners and worked in the technology groups at McKinsey and Goldman Sachs.",Nick Beim,Venrock
"Nick’s primary passion outside of venture investing is international development, and in particular accelerating international development through entrepreneurship. Nick serves on the board of Endeavor, a non-profit organization dedicated to supporting entrepreneurs in developing countries that Tom Friedman has called “the best anti-poverty program of all.” Nick is also a member of the Council on Foreign Relations and serves as an Advisory Board Member at the Center on Global Energy Policy.",Nick Beim,Venrock
"In 2011, Forbes named Nick one of the “Elite 8″ to watch in Venture Capital.",Nick Beim,Venrock
"Nick recently published Learning Effects, Network Effects, and Runaway Leaders.",Nick Beim,Venrock
"Megan Blewett joined Venrock in 2017 and focuses on biotech and pharmaceutical investments. Prior to Venrock, Megan was a Hertz Fellow and NSF Fellow with Ben Cravatt at The Scripps Research Institute, where she earned a PhD in chemistry. Her PhD work explored the mechanism of action of the multiple sclerosis therapeutic Tecfidera and helped form the foundation of the biotech company Vividion. Megan also has a longstanding interest in healthcare analytics and has consulted for Google’s medical condition search team.",Megan Blewett,Venrock
"Megan received an AB/AM in chemistry from Harvard University, where she spent nearly all four years working in the lab of chemistry Nobel Laureate EJ Corey and was awarded the Thomas T. Hoopes Prize for her senior thesis research.",Megan Blewett,Venrock
"Prior to joining Venrock, Alon worked on investment research and strategy at First Round Capital, while simultaneously attending the MBA program at the Wharton School of Business. Before starting at Wharton, Alon co-founded Finch15, a strategy consulting firm which provided digital product innovation and investment strategy for established brands such as BMW, General Mills, Showtime, AOL and Visa. As of 2013, Finch15 became a fully-owned subsidiary of Publicis Groupe, where Alon concurrently held the role of Vice President of Product Innovation. Prior to Finch15, Alon spent several years as an Analyst and Associate at a boutique investment bank in New York, specializing in valuation and financial advisory services for notable emerging growth companies and venture funds. Alon also earned his B.S. in Finance and Economic Policy, summa cum laude in 2009 and proudly grew up in the non-hipster parts of Brooklyn.",Alon Bonder,Venrock
"Racquel Bracken joined Venrock in 2016 and focuses on pharmaceutical and biotech investments. She currently serves on the Board of Cyteir Therapeutics and is a Board Observer at Inscripta. Prior to Venrock, Racquel was a founding employee of Clovis Oncology, a biopharmaceutical company focused on acquiring, developing and commercializing targeted small molecule therapies in combination with companion diagnostics. She held a variety of business development and commercial roles and was responsible for the acquisition of four pipeline products, and led the commercial launch efforts for the PARP inhibitor program in ovarian cancer.",Racquel Bracken,Venrock
